No.,Player,Age,Pos,G,GS,Wt,Ht,College/Univ,BirthDate,Yrs,AV,Drafted (tm/rnd/yr)
48.0,Cal Adomitis,25,LS,17,0.0,238.0,6-2,Pittsburgh,7/9/1998,1,1.0,
26.0,Tycen Anderson,24,S,7,0.0,205.0,6-2,Toledo,6/13/1999,1,0.0,Cincinnati Bengals / 5th / 166th pick / 2022
22.0,Chidobe Awuzie,28,LCB,15,10.0,202.0,5-11,Colorado,5/24/1995,6,4.0,Dallas Cowboys / 2nd / 60th pick / 2017
49.0,Joe Bachie,25,LB,16,0.0,235.0,6-2,Michigan St.,2/26/1998,3,1.0,
51.0,Markus Bailey,26,LB,17,0.0,235.0,6-1,Purdue,3/7/1997,3,1.0,Cincinnati Bengals / 7th / 215th pick / 2020
27.0,Jordan Battle,23,S,17,7.0,215.0,6-1,Alabama,12/14/2000,Rook,3.0,Cincinnati Bengals / 3rd / 95th pick / 2023
83.0,Tyler Boyd,29,WR,17,13.0,203.0,6-2,Pittsburgh,11/15/1994,7,6.0,Cincinnati Bengals / 2nd / 55th pick / 2016
30.0,Chase Brown,23,RB,12,0.0,210.0,5-10,"Western Michigan,Illinois",3/21/2000,Rook,3.0,Cincinnati Bengals / 5th / 163rd pick / 2023
75.0,Orlando Brown Jr.,27,T,17,17.0,350.0,6-8,Oklahoma,5/2/1996,5,9.0,Baltimore Ravens / 3rd / 83rd pick / 2018
6.0,Jake Browning,27,QB,9,7.0,209.0,6-2,Washington,4/11/1996,1,7.0,
9.0,Joe Burrow,27,QB,10,10.0,215.0,6-4,"Ohio St.,LSU",12/10/1996,3,8.0,Cincinnati Bengals / 1st / 1st pick / 2020
65.0,Alex Cappa,28,G,17,17.0,312.0,6-6,Humboldt St.,1/27/1995,5,7.0,Tampa Bay Buccaneers / 3rd / 94th pick / 2018
79.0,Jackson Carman,23,G,2,0.0,325.0,6-5,Clemson,1/22/2000,2,0.0,Cincinnati Bengals / 2nd / 46th pick / 2021
95.0,Zachary Carter,24,DT,17,5.0,301.0,6-4,Florida,4/7/1999,1,3.0,Cincinnati Bengals / 3rd / 95th pick / 2022
