No.,Player,Age,Pos,G,GS,Wt,Ht,College/Univ,BirthDate,Yrs,AV,Drafted (tm/rnd/yr)
58.0,Tucker Addington,26.0,LS,3,0.0,230.0,6-2,Sam Houston St.,7/16/1997,1,0.0,
62.0,Alex Akingbulu,26.0,T,2,0.0,300.0,6-5,"UCLA,Fresno St.",12/28/1997,1,0.0,
93.0,Jonathan Allen,28.0,DT,16,16.0,300.0,6-3,Alabama,1/16/1995,6,6.0,Washington Redskins / 1st / 17th pick / 2017
92.0,Abdullah Anderson,27.0,DL,7,0.0,295.0,6-4,Bucknell,1/24/1996,4,1.0,
40.0,Alex Armah,29.0,RB,8,0.0,255.0,6-1,West Georgia,5/17/1994,6,0.0,Carolina Panthers / 6th / 192nd pick / 2017
57.0,Cody Barton,27.0,LB,13,13.0,237.0,6-2,Utah,11/13/1996,4,5.0,Seattle Seahawks / 3rd / 88th pick / 2019
87.0,John Bates,26.0,TE,17,4.0,259.0,6-6,Boise St.,11/6/1997,2,1.0,Washington Football Team / 4th / 124th pick / 2021
12.0,Jacoby Brissett,31.0,QB,3,0.0,235.0,6-4,"Florida,North Carolina St.",12/11/1992,7,1.0,New England Patriots / 3rd / 91st pick / 2016
2.0,Dyami Brown,24.0,WR,17,1.0,195.0,6-0,North Carolina,11/1/1999,2,1.0,Washington Football Team / 3rd / 82nd pick / 2021
32.0,Terrell Burgess,25.0,S,12,1.0,202.0,5-11,Utah,11/12/1998,3,1.0,Los Angeles Rams / 3rd / 104th pick / 2020
35.0,Percy Butler,23.0,S,15,13.0,191.0,6-0,Louisiana,5/29/2000,1,3.0,Washington Commanders / 4th / 113th pick / 2022
26.0,Tariq Castro-Fields,24.0,CB,8,1.0,197.0,6-1,Penn St.,1/14/1999,1,1.0,San Francisco 49ers / 6th / 221st pick / 2022
48.0,Sean Chandler,27.0,DB,2,1.0,200.0,5-10,Temple,4/27/1996,5,0.0,
77.0,Saahdiq Charles,24.0,OL,11,10.0,321.0,6-4,LSU,7/26/1999,3,4.0,Washington Football Team / 4th / 108th pick / 2020
54.0,Camaron Cheeseman,25.0,LS,14,0.0,237.0,6-4,Michigan,4/26/1998,2,1.0,Washington Football Team / 6th / 225th pick / 2021
76.0,Samuel Cosmi,24.0,T,17,17.0,309.0,6-6,Texas,2/16/1999,2,8.0,Washington Football Team / 2nd / 51st pick / 2021
41.0,Jabril Cox,25.0,LB,10,0.0,233.0,6-3,"North Dakota St.,LSU",4/16/1998,2,1.0,Dallas Cowboys / 4th / 115th pick / 2021
83.0,Jamison Crowder,30.0,WR,17,0.0,177.0,5-9,Duke,6/17/1993,8,1.0,Washington Redskins / 4th / 105th pick / 2015
31.0,Kamren Curl,24.0,S,16,16.0,205.0,6-2,Arkansas,3/31/1999,3,4.0,Washington Football Team / 7th / 216th pick / 2020
52.0,Jamin Davis,25.0,LB,13,13.0,234.0,6-4,Kentucky,12/12/1998,2,5.0,Washington Football Team / 1st / 19th pick / 2021
1.0,Jahan Dotson,23.0,WR,17,16.0,184.0,5-11,Penn St.,3/22/2000,1,4.0,Washington Commanders / 1st / 16th pick / 2022
13.0,Emmanuel Forbes,22.0,CB,14,6.0,180.0,6-0,Mississippi St.,1/13/2001,Rook,2.0,Washington Commanders / 1st / 16th pick / 2023
22.0,Darrick Forrest,24.0,S,5,5.0,200.0,5-11,Cincinnati,5/22/1999,2,1.0,Washington Football Team / 5th / 163rd pick / 2021
29.0,Kendall Fuller,28.0,CB,15,15.0,198.0,5-11,Virginia Tech,2/13/1995,7,5.0,Washington Redskins / 3rd / 84th pick / 2016
63.0,Nick Gates,28.0,C,13,10.0,312.0,6-5,Nebraska,11/27/1995,4,4.0,
24.0,Antonio Gibson,25.0,RB,16,2.0,228.0,6-0,"East Central CC (MS),Memphis",6/23/1998,3,5.0,Washington Football Team / 3rd / 66th pick / 2020
61.0,Julian Good-Jones,26.0,G,1,0.0,313.0,6-5,Iowa St.,3/2/1997,1,0.0,
38.0,Derrick Gore,29.0,RB,6,0.0,212.0,5-10,"Alabama,La-Monroe",12/13/1994,2,0.0,
45.0,De'Jon Harris,26.0,LB,8,0.0,245.0,6-0,Arkansas,11/1/1997,3,0.0,
56.0,Jalen Harris,24.0,DE,5,0.0,257.0,6-4,Arizona,2/26/1999,Rook,0.0,
55.0,K.J. Henry,24.0,DE,10,3.0,255.0,6-4,Clemson,1/27/1999,Rook,2.0,Washington Commanders / 5th / 137th pick / 2023
34.0,Christian Holmes,26.0,CB,13,0.0,205.0,6-1,"Missouri,Oklahoma St.",9/14/1997,1,1.0,Washington Commanders / 7th / 240th pick / 2022
14.0,Sam Howell,23.0,QB,17,17.0,225.0,6-1,North Carolina,9/16/2000,1,11.0,Washington Commanders / 5th / 144th pick / 2022
47.0,Khaleke Hudson,26.0,LB,17,8.0,220.0,6-0,Michigan,12/6/1997,3,3.0,Washington Football Team / 5th / 162nd pick / 2020
36.0,Danny Johnson,28.0,CB,13,0.0,190.0,5-9,Southern,11/17/1995,5,1.0,
50.0,Andre Jones,25.0,DE,14,2.0,258.0,6-5,Louisiana,10/25/1998,Rook,1.0,Washington Commanders / 7th / 233rd pick / 2023
36.0,Kyu Blu Kelly,22.0,CB,2,0.0,188.0,6-0,Stanford,5/22/2001,Rook,0.0,Baltimore Ravens / 5th / 157th pick / 2023
69.0,Tyler Larsen,32.0,C,14,7.0,335.0,6-4,Utah St.,7/8/1991,7,3.0,
72.0,Charles Leno Jr.,32.0,LT,13,13.0,302.0,6-3,Boise St.,10/9/1991,9,6.0,Chicago Bears / 7th / 246th pick / 2014
78.0,Cornelius Lucas,32.0,T,17,4.0,327.0,6-8,Kansas St.,7/18/1991,9,3.0,
20.0,Quan Martin,23.0,DB,16,5.0,195.0,6-0,Illinois,4/17/2000,Rook,2.0,Washington Commanders / 2nd / 47th pick / 2023
98.0,Phidarian Mathis,25.0,DT,10,0.0,312.0,6-4,Alabama,4/26/1998,1,1.0,Washington Commanders / 2nd / 47th pick / 2022
51.0,David Mayo,30.0,LB,17,5.0,240.0,6-2,Texas St.,8/18/1993,8,3.0,Carolina Panthers / 5th / 169th pick / 2015
17.0,Terry McLaurin,28.0,WR,17,17.0,210.0,6-0,Ohio St.,9/15/1995,4,8.0,Washington Redskins / 3rd / 76th pick / 2019
97.0,Efe Obada,31.0,DE,5,0.0,265.0,6-6,,4/13/1992,5,0.0,
75.0,Chris Paul,25.0,G,10,7.0,324.0,6-4,Tulsa,11/19/1998,1,3.0,Washington Commanders / 7th / 230th pick / 2022
94.0,Daron Payne,26.0,DT,17,17.0,320.0,6-3,Alabama,5/27/1997,5,7.0,Washington Redskins / 1st / 13th pick / 2018
79.0,Benning Potoa'e,27.0,DT,1,0.0,290.0,6-3,Washington,9/17/1996,3,0.0,
3.0,Byron Pringle,30.0,WR,17,1.0,203.0,6-1,Kansas St.,11/17/1993,4,1.0,
59.0,Joshua Pryor,24.0,DE,7,0.0,280.0,6-4,Bowie St.,10/25/1999,Rook,0.0,
39.0,Jeremy Reaves,27.0,S,5,0.0,200.0,5-11,South Alabama,8/29/1996,5,0.0,
91.0,John Ridgeway,24.0,DT,17,2.0,321.0,6-5,"Illinois St.,Arkansas",5/7/1999,1,2.0,Dallas Cowboys / 5th / 178th pick / 2022
8.0,Brian Robinson Jr.,24.0,RB,15,15.0,228.0,6-1,Alabama,3/22/1999,1,7.0,Washington Commanders / 3rd / 98th pick / 2022
23.0,Chris Rodriguez,23.0,RB,13,0.0,224.0,5-11,Kentucky,9/26/2000,Rook,2.0,Washington Commanders / 6th / 193rd pick / 2023
4.0,Curtis Samuel,27.0,WR,16,13.0,195.0,5-11,Ohio St.,8/11/1996,6,5.0,Carolina Panthers / 2nd / 40th pick / 2017
73.0,Trenton Scott,29.0,T,10,2.0,320.0,6-5,Grambling St.,1/25/1994,5,1.0,
6.0,Joey Slye,27.0,K,17,0.0,213.0,5-11,Virginia Tech,4/10/1996,4,2.0,
96.0,James Smith-Williams,26.0,DE,13,7.0,265.0,6-3,North Carolina St.,7/29/1997,3,3.0,Washington Football Team / 7th / 229th pick / 2020
25.0,Benjamin St-Juste,26.0,CB,16,16.0,200.0,6-3,"Michigan,Minnesota",9/8/1997,2,4.0,Washington Football Team / 3rd / 74th pick / 2021
53.0,Ricky Stromberg,23.0,C,4,0.0,313.0,6-3,Arkansas,11/10/2000,Rook,0.0,Washington Commanders / 3rd / 97th pick / 2023
90.0,Montez Sweat,27.0,LDE,8,8.0,270.0,6-6,"Michigan St.,Copiah-Lincoln CC,Mississippi St.",9/4/1996,4,3.0,Washington Redskins / 1st / 26th pick / 2019
82.0,Logan Thomas,32.0,TE,16,15.0,250.0,6-6,Virginia Tech,7/1/1991,9,4.0,Arizona Cardinals / 4th / 120th pick / 2014
86.0,Mitchell Tinsley,24.0,WR,2,0.0,205.0,6-1,"Hutchinson (KS),Western Kentucky,Penn St.",9/15/1999,Rook,0.0,
95.0,Casey Toohill,27.0,DE,16,8.0,250.0,6-5,Stanford,8/21/1996,3,4.0,Philadelphia Eagles / 7th / 233rd pick / 2020
85.0,Cole Turner,23.0,TE,12,1.0,240.0,6-6,Nevada,3/16/2000,1,1.0,Washington Commanders / 5th / 149th pick / 2022
5.0,Tress Way,33.0,P,17,0.0,220.0,6-1,Oklahoma,4/18/1990,9,2.0,
37.0,Nick Whiteside,23.0,CB,2,0.0,200.0,6-1,Saginaw Valley St.,5/1/2000,Rook,0.0,
0.0,Jace Whittaker,28.0,CB,1,0.0,185.0,5-11,Arizona,7/16/1995,3,0.0,
18.0,Jonathan Williams,29.0,RB,1,0.0,217.0,6-0,Arkansas,2/2/1994,7,0.0,Buffalo Bills / 5th / 156th pick / 2016
71.0,Andrew Wylie,29.0,OL,15,15.0,309.0,6-6,Eastern Michigan,8/19/1994,5,6.0,
99.0,Chase Young,24.0,RDE,7,6.0,264.0,6-5,Ohio St.,4/14/1999,3,2.0,Washington Football Team / 1st / 2nd pick / 2020
,Team Total,26.3,,17,,244.7,6-2.2,,,3.1,,
