No.,Player,Age,Pos,G,GS,Wt,Ht,College/Univ,BirthDate,Yrs,AV,Drafted (tm/rnd/yr)
29.0,Micah Abernathy,26.0,S,12,0.0,195.0,6-0,Tennessee,2/10/1997,1,1.0,
20.0,DeAundre Alford,26.0,CB,16,5.0,180.0,5-11,Tusculum,11/5/1997,1,3.0,
25.0,Tyler Allgeier,23.0,RB,17,3.0,225.0,5-10,BYU,4/15/2000,1,5.0,Atlanta Falcons / 5th / 151st pick / 2022
44.0,Troy Andersen,24.0,LB,2,2.0,245.0,6-4,Montana St.,4/23/1999,1,1.0,Atlanta Falcons / 2nd / 58th pick / 2022
75.0,Eli Ankou,29.0,DT,1,0.0,325.0,6-3,UCLA,6/8/1994,6,0.0,
3.0,Jessie Bates III,26.0,S,17,17.0,210.0,6-1,Wake Forest,2/26/1997,5,12.0,Cincinnati Bengals / 2nd / 54th pick / 2018
74.0,Travis Bell,25.0,DT,2,0.0,310.0,6-0,Kennesaw St.,10/27/1998,Rook,0.0,Chicago Bears / 7th / 218th pick / 2023
65.0,Matthew Bergeron,23.0,OL,17,17.0,315.0,6-5,Syracuse,2/26/2000,Rook,6.0,Atlanta Falcons / 2nd / 38th pick / 2023
83.0,Chris Blair,26.0,WR,1,0.0,215.0,6-2,"Hinds CC,Alcorn St.",10/6/1997,1,0.0,
14.0,Damiere Byrd,30.0,WR,1,0.0,175.0,5-9,South Carolina,1/27/1993,7,0.0,
93.0,Calais Campbell,37.0,DL,17,17.0,315.0,6-8,Miami (FL),9/1/1986,15,9.0,Arizona Cardinals / 2nd / 50th pick / 2008
0.0,Lorenzo Carter,28.0,OLB,17,1.0,264.0,6-5,Georgia,12/10/1995,5,3.0,New York Giants / 3rd / 66th pick / 2018
67.0,Drew Dalman,25.0,OL,14,14.0,301.0,6-3,Stanford,10/15/1998,2,5.0,Atlanta Falcons / 4th / 114th pick / 2021
88.0,Frank Darby,26.0,WR,1,0.0,200.0,6-1,Arizona St.,9/8/1997,2,0.0,Atlanta Falcons / 6th / 187th pick / 2021
50.0,Tae Davis,27.0,LB,8,0.0,222.0,6-0,Chattanooga,8/14/1996,5,1.0,
48.0,Bud Dupree,30.0,OLB,16,16.0,269.0,6-4,Kentucky,2/12/1993,8,8.0,Pittsburgh Steelers / 1st / 22nd pick / 2015
17.0,Arnold Ebiketie,24.0,OLB,17,6.0,250.0,6-2,"Temple,Penn St.",1/23/1999,1,4.0,Atlanta Falcons / 2nd / 38th pick / 2022
52.0,Milo Eifler,25.0,LB,2,0.0,228.0,6-1,"Washington,Illinois",2/13/1998,2,0.0,
55.0,Kaden Elliss,28.0,LB,17,17.0,240.0,6-2,Idaho,7/10/1995,4,8.0,New Orleans Saints / 7th / 244th pick / 2019
43.0,Tucker Fisk,24.0,TE,6,2.0,285.0,6-4,Stanford,1/19/1999,1,0.0,
87.0,John FitzPatrick,23.0,TE,9,0.0,262.0,6-7,Georgia,3/9/2000,1,0.0,Atlanta Falcons / 6th / 213th pick / 2022
33.0,Tre Flowers,28.0,CB,17,3.0,203.0,6-3,Oklahoma St.,6/2/1995,5,2.0,Seattle Seahawks / 5th / 146th pick / 2018
99.0,Joe Gaziano,27.0,DL,2,0.0,280.0,6-4,Northwestern,9/27/1996,3,0.0,
95.0,Ta'Quon Graham,25.0,DL,15,2.0,300.0,6-4,Texas,12/1/1998,2,2.0,Atlanta Falcons / 5th / 148th pick / 2021
27.0,Richie Grant,26.0,S,17,15.0,200.0,6-0,Central Florida,11/9/1997,2,6.0,Atlanta Falcons / 2nd / 40th pick / 2021
56.0,Jovaughn Gwyn,24.0,OL,1,0.0,310.0,6-2,South Carolina,3/18/1999,Rook,0.0,Atlanta Falcons / 7th / 225th pick / 2023
96.0,Zach Harrison,22.0,DL,16,0.0,270.0,6-5,Ohio St.,8/14/2001,Rook,1.0,Atlanta Falcons / 3rd / 75th pick / 2023
32.0,Jaylinn Hawkins,26.0,S,6,0.0,208.0,6-1,California,8/25/1997,3,0.0,Atlanta Falcons / 4th / 134th pick / 2020
4.0,Taylor Heinicke,30.0,QB,5,4.0,210.0,6-1,Old Dominion,3/15/1993,6,3.0,
37.0,DeMarcco Hellams,23.0,S,15,4.0,203.0,6-1,Alabama,6/5/2000,Rook,2.0,Atlanta Falcons / 7th / 224th pick / 2023
46.0,Parker Hesse,28.0,TE,3,0.0,251.0,6-3,Iowa,5/26/1995,2,0.0,
68.0,Kyle Hinton,25.0,OL,16,1.0,315.0,6-2,Washburn,2/27/1998,1,1.0,Minnesota Vikings / 7th / 253rd pick / 2020
12.0,KhaDarel Hodge,28.0,WR,17,4.0,210.0,6-2,"Alcorn St.,Hinds CC,Prairie View A&M",1/3/1995,5,2.0,
18.0,Mack Hollins,30.0,WR,13,3.0,221.0,6-4,North Carolina,9/16/1993,6,2.0,Philadelphia Eagles / 4th / 118th pick / 2017
98.0,Timmy Horne,26.0,DL,3,0.0,323.0,6-4,"Charlotte,Kansas St.",10/25/1997,1,0.0,
94.0,Albert Huggins,26.0,DL,13,5.0,305.0,6-3,Clemson,6/27/1997,4,3.0,
21.0,Mike Hughes,26.0,CB,15,4.0,190.0,5-10,"North Carolina,Central Florida",2/11/1997,5,2.0,Minnesota Vikings / 1st / 30th pick / 2018
42.0,Godwin Igwebuike,29.0,RB,2,0.0,213.0,6-0,Northwestern,9/10/1994,5,0.0,
97.0,Grady Jarrett,30.0,DL,8,8.0,294.0,6-1,Clemson,4/28/1993,8,4.0,Atlanta Falcons / 5th / 137th pick / 2015
15.0,Van Jefferson,27.0,WR,12,5.0,200.0,6-1,"Mississippi,Florida",7/26/1996,3,1.0,Los Angeles Rams / 2nd / 57th pick / 2020
6.0,Younghoe Koo,29.0,K,17,0.0,195.0,5-10,Georgia Southern,8/3/1994,6,3.0,
53.0,Nathan Landman,25.0,LB,16,14.0,235.0,6-3,Colorado,11/19/1998,1,7.0,
66.0,John Leglue,27.0,OL,1,0.0,310.0,6-7,Tulane,4/17/1996,2,0.0,
63.0,Chris Lindstrom,26.0,G,16,16.0,310.0,6-4,Boston Col.,2/28/1997,4,9.0,Atlanta Falcons / 1st / 14th pick / 2019
5.0,Drake London,22.0,WR,16,16.0,215.0,6-4,USC,7/24/2001,1,7.0,Atlanta Falcons / 1st / 8th pick / 2022
72.0,LaCale London,26.0,DL,7,0.0,297.0,6-3,Western Illinois,8/5/1997,2,1.0,
