No.,Player,Age,Pos,G,GS,Wt,Ht,College/Univ,BirthDate,Yrs,AV,Drafted (tm/rnd/yr)
45.0,Nate Adkins,24.0,TE,10,1.0,252.0,6-3,"East Tennessee St.,South Carolina",7/9/1999,Rook,0.0,
99.0,Zach Allen,26.0,DE,17,17.0,285.0,6-5,Boston Col.,8/20/1997,4,6.0,Arizona Cardinals / 3rd / 65th pick / 2019
75.0,Quinn Bailey,28.0,T,17,1.0,323.0,6-6,Arizona St.,10/18/1995,4,2.0,
83.0,Michael Bandy,26.0,WR,1,0.0,190.0,5-10,San Diego,12/5/1997,2,0.0,
21.0,Essang Bassey,25.0,DB,4,1.0,190.0,5-10,Wake Forest,8/12/1998,3,0.0,
72.0,Garett Bolles,31.0,T,17,17.0,300.0,6-5,"Snow College (UT),Utah",5/27/1992,6,8.0,Denver Broncos / 1st / 20th pick / 2017
42.0,Nik Bonitto,24.0,OLB,15,4.0,240.0,6-3,Oklahoma,9/26/1999,1,3.0,Denver Broncos / 2nd / 64th pick / 2022
56.0,Baron Browning,24.0,OLB,10,9.0,255.0,6-3,Ohio St.,2/19/1999,2,4.0,Denver Broncos / 3rd / 105th pick / 2021
20.0,Michael Burton,31.0,FB,17,3.0,247.0,6-0,Rutgers,2/1/1992,8,0.0,Detroit Lions / 5th / 168th pick / 2015
55.0,Frank Clark,30.0,DE,2,0.0,272.0,6-3,Michigan,6/14/1993,8,0.0,Seattle Seahawks / 2nd / 63rd pick / 2015
0.0,Jonathon Cooper,25.0,OLB,17,17.0,257.0,6-4,Ohio St.,1/8/1998,2,8.0,Denver Broncos / 7th / 239th pick / 2021
79.0,Lloyd Cushenberry III,26.0,C,17,17.0,315.0,6-4,LSU,11/22/1997,3,7.0,Denver Broncos / 3rd / 83rd pick / 2020
9.0,Riley Dixon,30.0,P,17,0.0,221.0,6-4,Syracuse,8/24/1993,7,2.0,Denver Broncos / 7th / 228th pick / 2016
13.0,Phillip Dorsett,30.0,WR,2,1.0,185.0,5-10,Miami (FL),1/5/1993,8,0.0,Indianapolis Colts / 1st / 29th pick / 2015
80.0,Greg Dulcich,23.0,TE,2,1.0,245.0,6-4,UCLA,3/26/2000,1,0.0,Denver Broncos / 3rd / 80th pick / 2022
73.0,Cameron Fleming,31.0,T,6,1.0,320.0,6-5,Stanford,9/3/1992,9,1.0,New England Patriots / 4th / 140th pick / 2014
48.0,Mitchell Fraboni,27.0,LS,17,0.0,223.0,6-2,Arizona St.,10/28/1996,1,1.0,
95.0,Elijah Garcia,25.0,DL,3,0.0,302.0,6-5,Rice,3/11/1998,1,0.0,
5.0,Randy Gregory,31.0,LB,4,3.0,242.0,6-5,"Arizona Western,Nebraska",11/23/1992,8,1.0,Dallas Cowboys / 2nd / 60th pick / 2015
92.0,Jonathan Harris,27.0,DL,17,5.0,295.0,6-5,Lindenwood,8/4/1996,4,3.0,
91.0,Matt Henningsen,24.0,DE,17,0.0,291.0,6-3,Wisconsin,5/1/1999,1,1.0,Denver Broncos / 6th / 206th pick / 2022
17.0,Lil'Jordan Humphrey,25.0,WR,17,8.0,225.0,6-4,Texas,4/19/1998,4,2.0,
59.0,Thomas Incoom,24.0,OLB,4,0.0,265.0,6-2,"Valdosta St.,Central Michigan",2/19/1999,Rook,0.0,
22.0,Kareem Jackson,35.0,SS,8,8.0,196.0,5-10,Alabama,4/10/1988,13,3.0,Houston Texans / 1st / 20th pick / 2010
10.0,Jerry Jeudy,24.0,WR,16,11.0,195.0,6-1,Alabama,4/24/1999,3,7.0,Denver Broncos / 1st / 15th pick / 2020
47.0,Josey Jewell,29.0,LB,16,15.0,236.0,6-1,Iowa,12/25/1994,5,6.0,Denver Broncos / 4th / 106th pick / 2018
89.0,Brandon Johnson,25.0,WR,13,2.0,195.0,6-2,"Tennessee,Central Florida",7/26/1998,1,3.0,
93.0,D.J. Jones,28.0,DT,16,16.0,305.0,6-0,"East Mississippi CC,Mississippi",1/19/1995,6,6.0,San Francisco 49ers / 6th / 198th pick / 2017
85.0,Lucas Krull,25.0,TE,7,2.0,260.0,6-6,"Jefferson,Florida,Pittsburgh",7/11/1998,1,1.0,
96.0,Tyler Lancaster,29.0,NT,3,0.0,313.0,6-3,Northwestern,11/4/1994,5,0.0,
6.0,P.J. Locke,26.0,S,12,8.0,202.0,5-10,Texas,2/12/1997,3,3.0,
16.0,Wil Lutz,29.0,K,17,0.0,184.0,5-11,Georgia St.,7/7/1994,7,3.0,
84.0,Chris Manhertz,31.0,TE,16,4.0,235.0,6-6,Canisius,4/10/1992,7,0.0,
27.0,Damarri Mathis,24.0,CB,17,6.0,195.0,5-11,Pittsburgh,4/12/1999,1,2.0,Denver Broncos / 4th / 115th pick / 2022
69.0,Mike McGlinchey,29.0,T,16,16.0,315.0,6-8,Notre Dame,8/29/1994,5,7.0,San Francisco 49ers / 1st / 9th pick / 2018
38.0,Jaleel McLaughlin,23.0,RB,17,3.0,187.0,5-7,"Notre Dame (OH),Youngstown St.",9/13/2000,Rook,4.0,
