Quarter,Time,Down,ToGo,Location,SEA,SFO,Detail,EPB,EPA,week,year,game_id
,,,,,,,"Seahawks won the coin toss and deferred, 49ers to receive the opening kickoff.",,,2.0,2022,26
1.0,15:00,,,SEA 35,0.0,0.0,"Jason Myers kicks off 65 yards, touchback.",0.0,0.61,2.0,2022,26
1.0,15:00,1.0,10.0,SFO 25,0.0,0.0,Jeff Wilson right guard for 6 yards (tackle by Michael Jackson),0.61,0.87,2.0,2022,26
1.0,14:27,2.0,4.0,SFO 31,0.0,0.0,Jeff Wilson left guard for 6 yards (tackle by Quandre Diggs),0.87,1.4,2.0,2022,26
1.0,13:50,1.0,10.0,SFO 37,0.0,0.0,Trey Lance pass complete short right to Brandon Aiyuk for 25 yards (tackle by Michael Jackson),1.4,3.05,2.0,2022,26
1.0,13:13,1.0,10.0,SEA 38,0.0,0.0,Tyrion Davis-Price right tackle for 4 yards (tackle by Bryan Mone and Quandre Diggs),3.05,3.05,2.0,2022,26
1.0,12:40,2.0,6.0,SEA 34,0.0,0.0,Trey Lance pass incomplete short left intended for Deebo Samuel,3.05,2.34,2.0,2022,26
1.0,12:36,3.0,6.0,SEA 34,0.0,0.0,Trey Lance up the middle for 7 yards (tackle by Josh Jones),2.34,3.78,2.0,2022,26
1.0,11:59,1.0,10.0,SEA 27,0.0,0.0,Tyrion Davis-Price left tackle for 20 yards (tackle by Josh Jones),3.78,5.6,2.0,2022,26
1.0,11:12,1.0,7.0,SEA 7,0.0,0.0,Tyrion Davis-Price right tackle for -4 yards (tackle by Darryl Johnson),5.6,4.02,2.0,2022,26
1.0,10:33,2.0,11.0,SEA 11,0.0,0.0,Trey Lance up the middle for 4 yards (tackle by Jordyn Brooks and Cody Barton),4.02,3.81,2.0,2022,26
1.0,9:59,3.0,7.0,SEA 7,0.0,0.0,Trey Lance pass complete short left to Jeff Wilson for 5 yards (tackle by Cody Barton),3.81,3.25,2.0,2022,26
1.0,9:20,4.0,2.0,SEA 2,0.0,3.0,Robbie Gould 20 yard field goal good,3.25,3.0,2.0,2022,26
1.0,9:16,,,SFO 35,0.0,3.0,"Robbie Gould kicks off 61 yards, returned by DeeJay Dallas for 15 yards (tackle by Jordan Mason and Deommodore Lenoir)",0.0,0.15,2.0,2022,26
1.0,9:09,1.0,10.0,SEA 19,0.0,3.0,Geno Smith pass complete short left to Noah Fant for 4 yards (tackle by Emmanuel Moseley),0.15,0.21,2.0,2022,26
1.0,8:38,2.0,6.0,SEA 23,0.0,3.0,Rashaad Penny right guard for 5 yards (tackle by Talanoa Hufanga),0.21,0.1,2.0,2022,26
1.0,8:03,3.0,1.0,SEA 28,0.0,3.0,Kenneth Walker right guard for 8 yards (tackle by Talanoa Hufanga),0.1,1.33,2.0,2022,26
1.0,7:25,1.0,10.0,SEA 36,0.0,3.0,Rashaad Penny left tackle for no gain (tackle by Talanoa Hufanga and Charles Omenihu),1.33,0.79,2.0,2022,26
1.0,6:46,2.0,10.0,SEA 36,0.0,3.0,Geno Smith pass complete short right to D.K. Metcalf for 5 yards (tackle by Azeez Al-Shaair and Charvarius Ward),0.79,0.76,2.0,2022,26
1.0,6:05,3.0,5.0,SEA 41,0.0,3.0,Geno Smith pass incomplete short left intended for D.K. Metcalf (defended by Emmanuel Moseley),0.76,-0.65,2.0,2022,26
1.0,6:01,4.0,5.0,SEA 41,0.0,3.0,"Michael Dickson punts 48 yards, fair catch by Ray-Ray McCloud at SF-11",-0.65,0.37,2.0,2022,26
1.0,5:53,1.0,10.0,SFO 11,0.0,3.0,Jeff Wilson left end for 8 yards (tackle by Al Woods),-0.37,0.17,2.0,2022,26
1.0,5:14,2.0,2.0,SFO 19,0.0,3.0,"Jeff Wilson up the middle for no gain (tackle by Al Woods). Penalty on Darrell Taylor: Defensive Offside, 5 yards (accepted) (no play)",0.17,0.54,2.0,2022,26
1.0,4:50,1.0,10.0,SFO 24,0.0,3.0,"Deebo Samuel left guard for 2 yards. Deebo Samuel fumbles (forced by Coby Bryant), recovered by Deebo Samuel at SF-26",0.54,0.27,2.0,2022,26
1.0,4:08,2.0,8.0,SFO 26,0.0,3.0,Deebo Samuel right end for 51 yards (tackle by Tariq Woolen),0.27,4.04,2.0,2022,26
1.0,3:20,1.0,10.0,SEA 23,0.0,3.0,Tyrion Davis-Price right end for 2 yards (tackle by Michael Jackson),4.04,3.77,2.0,2022,26
1.0,2:33,2.0,8.0,SEA 21,0.0,3.0,Trey Lance right guard for 2 yards (tackle by Bryan Mone and Cody Barton),3.77,3.34,2.0,2022,26
1.0,2:12,3.0,6.0,SEA 19,0.0,3.0,Jimmy Garoppolo pass complete short left to Brandon Aiyuk for 4 yards (tackle by Coby Bryant),3.34,2.57,2.0,2022,26
1.0,1:30,4.0,2.0,SEA 15,0.0,6.0,Robbie Gould 33 yard field goal good,2.57,3.0,2.0,2022,26
1.0,1:26,,,SFO 35,0.0,6.0,"Robbie Gould kicks off 65 yards, touchback.",0.0,0.61,2.0,2022,26
1.0,1:26,1.0,10.0,SEA 25,0.0,6.0,Rashaad Penny up the middle for 6 yards (tackle by Nick Bosa and Charvarius Ward),0.61,0.87,2.0,2022,26
1.0,0:57,2.0,4.0,SEA 31,0.0,6.0,Geno Smith pass complete short right to Tyler Lockett for 9 yards (tackle by Talanoa Hufanga),0.87,1.6,2.0,2022,26
1.0,0:30,1.0,10.0,SEA 40,0.0,6.0,Kenneth Walker left guard for -1 yards (tackle by Kevin Givens and Charvarius Ward),1.6,0.92,2.0,2022,26
