Quarter,Time,Tm,Detail,SEA,SFO,week,year,game_id
1.0,9:16,49ers,Robbie Gould 20 yard field goal,0,3,2.0,2022,26
,1:26,49ers,Robbie Gould 33 yard field goal,0,6,2.0,2022,26
2.0,11:19,49ers,Ross Dwelley 38 yard pass from Jimmy Garoppolo (Robbie Gould kick),0,13,2.0,2022,26
,1:26,49ers,Kyle Juszczyk 1 yard rush (Robbie Gould kick),0,20,2.0,2022,26
3.0,5:25,Seahawks,Michael Jackson 86 yard blocked field goal return (Jason Myers kick),7,20,2.0,2022,26
4.0,1:51,49ers,Jimmy Garoppolo 1 yard rush (Robbie Gould kick),7,27,2.0,2022,26
