Quarter,Time,Down,ToGo,Location,CHI,GNB,Detail,EPB,EPA,week,year,game_id
,,,,,,,"Bears won the coin toss and deferred, Packers to receive the opening kickoff.",,,2.0,2022,30
1.0,15:00,,,CHI 35,0.0,0.0,"Cairo Santos kicks off 65 yards, touchback.",0.0,0.61,2.0,2022,30
1.0,14:52,1.0,10.0,GNB 25,0.0,0.0,"Aaron Jones right end for 3 yards (tackle by Al-Quadin Muhammad and Roquan Smith). Penalty on Kindle Vildor: Defensive Chop Block, 15 yards (accepted)",0.61,1.8,2.0,2022,30
1.0,14:33,1.0,10.0,GNB 43,0.0,0.0,Aaron Jones right end for 4 yards (tackle by Nicholas Morrow and Justin Jones),1.8,1.79,2.0,2022,30
1.0,13:50,2.0,6.0,GNB 47,0.0,0.0,Aaron Rodgers pass complete short middle to Sammy Watkins for 14 yards (tackle by Kyler Gordon),1.79,2.98,2.0,2022,30
1.0,13:09,1.0,10.0,CHI 39,0.0,0.0,AJ Dillon right tackle for 3 yards (tackle by Robert Quinn),2.98,2.85,2.0,2022,30
1.0,12:29,2.0,7.0,CHI 36,0.0,0.0,Aaron Rodgers pass incomplete short right intended for AJ Dillon,2.85,2.15,2.0,2022,30
1.0,12:22,3.0,7.0,CHI 36,0.0,0.0,Aaron Rodgers pass complete short middle to Allen Lazard for 8 yards (tackle by Eddie Jackson),2.15,3.71,2.0,2022,30
1.0,11:41,1.0,10.0,CHI 28,0.0,0.0,AJ Dillon up the middle for 2 yards (tackle by Justin Jones and Kyler Gordon),3.71,3.44,2.0,2022,30
1.0,10:57,2.0,8.0,CHI 26,0.0,0.0,AJ Dillon up the middle for -2 yards (tackle by Angelo Blackson),3.44,2.48,2.0,2022,30
1.0,10:10,,,,,,Timeout #1 by Green Bay Packers,,,2.0,2022,30
1.0,10:10,3.0,10.0,CHI 28,0.0,0.0,Aaron Rodgers pass complete short left to Aaron Jones for 15 yards (tackle by Nicholas Morrow),2.48,4.71,2.0,2022,30
1.0,9:43,1.0,10.0,CHI 13,0.0,0.0,"Penalty on Josh Myers: False Start, 5 yards (accepted) (no play)",4.71,4.29,2.0,2022,30
1.0,9:27,1.0,15.0,CHI 18,0.0,0.0,Aaron Rodgers pass incomplete short right intended for Romeo Doubs,4.29,3.4,2.0,2022,30
1.0,9:23,2.0,15.0,CHI 18,0.0,0.0,Aaron Rodgers pass incomplete deep right intended for Allen Lazard (defended by Kyler Gordon),3.4,2.79,2.0,2022,30
1.0,9:18,3.0,15.0,CHI 18,0.0,0.0,Aaron Rodgers sacked by Trevis Gipson for -4 yards,2.79,1.99,2.0,2022,30
