Quarter,Time,Tm,Detail,TEN,BUF,week,year,game_id
1.0,9:07,Bills,Reggie Gilliam 11 yard pass from Josh Allen (Tyler Bass kick),0,7,2.0,2022,31
,5:23,Titans,Derrick Henry 2 yard rush (Randy Bullock kick),7,7,2.0,2022,31
2.0,7:20,Bills,Tyler Bass 49 yard field goal,7,10,2.0,2022,31
,1:00,Bills,Stefon Diggs 4 yard pass from Josh Allen (Tyler Bass kick),7,17,2.0,2022,31
3.0,10:18,Bills,Stefon Diggs 46 yard pass from Josh Allen (Tyler Bass kick),7,24,2.0,2022,31
,7:32,Bills,Tyler Bass 37 yard field goal,7,27,2.0,2022,31
,5:34,Bills,Stefon Diggs 14 yard pass from Josh Allen (Tyler Bass kick),7,34,2.0,2022,31
,3:49,Bills,Matt Milano 43 yard interception return (Tyler Bass kick),7,41,2.0,2022,31
