Tm,Total,Offense Tot,Offense Pass,Offense Rush,Offense TOvr,Defense Tot,Defense Pass,Defense Rush,Defense TOvr,Special Teams Tot,Special Teams KO,Special Teams KR,Special Teams P,Special Teams PR,Special Teams FG/XP,week,year,game_id
Bears,-17.0,-4.4,-7.51,4.03,-2.59,-16.87,-14.38,-2.91,4.71,1.71,-1.76,2.1,3.68,-2.32,0.01,2.0,2022,30
Packers,17.0,16.87,14.38,2.91,-4.71,4.4,7.51,-4.03,2.59,-1.71,-2.1,1.76,2.32,-3.68,-0.01,2.0,2022,30
