Quarter,Time,Down,ToGo,Location,HOU,DEN,Detail,EPB,EPA,week,year,game_id
,,,,,,,"Broncos won the coin toss and deferred, Texans to receive the opening kickoff.",,,2.0,2022,29
1.0,15:00,,,DEN 35,0.0,0.0,"Brandon McManus kicks off 65 yards, touchback.",0.0,0.61,2.0,2022,29
1.0,15:00,1.0,10.0,HOU 25,0.0,0.0,Davis Mills pass incomplete short middle,0.61,0.06,2.0,2022,29
1.0,14:57,2.0,10.0,HOU 25,0.0,0.0,Dameon Pierce left tackle for 8 yards (tackle by K'Waun Williams),0.06,0.43,2.0,2022,29
1.0,14:20,3.0,2.0,HOU 33,0.0,0.0,Dameon Pierce right end for no gain (tackle by D.J. Jones),0.43,-1.18,2.0,2022,29
1.0,13:43,4.0,2.0,HOU 33,0.0,0.0,"Cameron Johnston punts 64 yards, returned by Montrell Washington for 13 yards (tackle by Eric Murray and Jon Weeks). Penalty on Andrew Beck: Offensive Illegal Block Above the Waist, 10 yards (accepted)",-1.18,0.38,2.0,2022,29
1.0,13:29,1.0,10.0,DEN 8,0.0,0.0,Javonte Williams right end for 9 yards (tackle by Kamu Grugier-Hill and Jonathan Owens),-0.38,0.05,2.0,2022,29
1.0,12:59,2.0,1.0,DEN 17,0.0,0.0,"Russell Wilson pass incomplete short middle intended for Courtland Sutton. Penalty on Derek Stingley: Defensive Pass Interference, 10 yards (accepted) (no play)",0.05,0.74,2.0,2022,29
1.0,12:55,1.0,10.0,DEN 27,0.0,0.0,Javonte Williams left tackle for 5 yards (tackle by Jalen Pitre and Jerry Hughes),0.74,0.87,2.0,2022,29
1.0,12:24,2.0,5.0,DEN 32,0.0,0.0,Russell Wilson pass complete deep right to Courtland Sutton for 21 yards (tackle by Derek Stingley),0.87,2.46,2.0,2022,29
1.0,11:47,1.0,10.0,HOU 47,0.0,0.0,Melvin Gordon right tackle for -1 yards (tackle by Kurt Hinish and Ogbonnia Okoronkwo),2.46,1.78,2.0,2022,29
1.0,11:03,2.0,11.0,HOU 48,0.0,0.0,Russell Wilson pass incomplete deep right intended for Jerry Jeudy,1.78,1.09,2.0,2022,29
1.0,10:58,3.0,11.0,HOU 48,0.0,0.0,Russell Wilson pass incomplete short left intended for Albert Okwuegbunam,1.09,0.07,2.0,2022,29
