Quarter,Time,Down,ToGo,Location,MIN,PHI,Detail,EPB,EPA,week,year,game_id
,,,,,,,"Vikings won the coin toss and deferred, Eagles to receive the opening kickoff.",,,2.0,2022,32
1.0,15:00,,,MIN 35,0.0,0.0,"Greg Joseph kicks off 51 yards, returned by Quez Watkins for 4 yards (tackle by Patrick Jones)",0.0,0.04,2.0,2022,32
1.0,14:57,1.0,10.0,PHI 18,0.0,0.0,Jalen Hurts pass complete short left to DeVonta Smith for 5 yards (tackle by Harrison Smith),0.04,0.28,2.0,2022,32
1.0,14:32,2.0,5.0,PHI 23,0.0,0.0,Jalen Hurts pass complete short right to Dallas Goedert for 18 yards (tackle by Eric Kendricks),0.28,1.66,2.0,2022,32
1.0,13:59,1.0,10.0,PHI 41,0.0,0.0,Miles Sanders left end for 12 yards (tackle by D.J. Wonnum),1.66,2.46,2.0,2022,32
1.0,13:32,1.0,10.0,MIN 47,0.0,0.0,Miles Sanders right guard for 2 yards (tackle by Dalvin Tomlinson),2.46,2.18,2.0,2022,32
1.0,13:03,2.0,8.0,MIN 45,0.0,0.0,Jalen Hurts sacked by and Harrison Phillips for no gain and Dalvin Tomlinson for no gain,2.18,1.49,2.0,2022,32
1.0,12:20,3.0,8.0,MIN 45,0.0,0.0,"Jalen Hurts pass complete short middle to Kenneth Gainwell for no gain. Penalty on Landon Dickerson: Ineligible Downfield Pass, 5 yards (accepted) (no play)",1.49,0.83,2.0,2022,32
1.0,11:47,3.0,13.0,MIN 50,0.0,0.0,Jalen Hurts pass complete short left to A.J. Brown for 19 yards (tackle by Harrison Smith and Camryn Bynum),0.83,3.51,2.0,2022,32
1.0,11:18,1.0,10.0,MIN 31,0.0,0.0,Jalen Hurts scrambles right end for 4 yards (tackle by Eric Kendricks),3.51,3.51,2.0,2022,32
1.0,10:39,2.0,6.0,MIN 27,0.0,0.0,Boston Scott left guard for 3 yards (tackle by Danielle Hunter),3.51,3.2,2.0,2022,32
1.0,10:12,3.0,3.0,MIN 24,0.0,0.0,Jalen Hurts pass complete short right to Zach Pascal for 8 yards (tackle by Patrick Peterson),3.2,4.51,2.0,2022,32
1.0,9:44,1.0,10.0,MIN 16,0.0,0.0,Jalen Hurts pass complete short right to Dallas Goedert for 13 yards (tackle by Harrison Smith),4.51,6.51,2.0,2022,32
1.0,9:14,1.0,3.0,MIN 3,0.0,6.0,"Jalen Hurts up the middle for 3 yards, touchdown",6.51,7.0,2.0,2022,32
1.0,9:09,,,MIN 15,0.0,7.0,Jake Elliott kicks extra point good,0.0,0.0,2.0,2022,32
1.0,9:09,,,PHI 35,0.0,7.0,"Penalty on Patrick Peterson: Defensive Offside, 5 yards (accepted) (no play)",0.0,-2.92,2.0,2022,32
1.0,9:09,1.0,10.0,PHI 40,0.0,7.0,"Jake Elliott kicks off 60 yards, touchback.",2.92,0.61,2.0,2022,32
1.0,9:09,1.0,10.0,MIN 25,0.0,7.0,Dalvin Cook up the middle for -1 yards (tackle by Josh Sweat),0.61,-0.07,2.0,2022,32
1.0,8:32,2.0,11.0,MIN 24,0.0,7.0,Kirk Cousins pass complete short left to Justin Jefferson for 6 yards (tackle by Avonte Maddox),-0.07,0.04,2.0,2022,32
1.0,7:49,3.0,5.0,MIN 30,0.0,7.0,Kirk Cousins pass incomplete short left intended for Justin Jefferson (defended by Darius Slay),0.04,-1.37,2.0,2022,32
1.0,7:44,4.0,5.0,MIN 30,0.0,7.0,"Ryan Wright punts 48 yards, returned by Britain Covey for 1 yard (tackle by Troy Dye)",-1.37,-0.48,2.0,2022,32
1.0,7:34,1.0,10.0,PHI 23,0.0,7.0,"Jalen Hurts pass complete short left to A.J. Brown for no gain. Penalty on Landon Dickerson: Ineligible Downfield Pass, 5 yards (accepted) (no play)",0.48,0.0,2.0,2022,32
1.0,7:05,1.0,15.0,PHI 18,0.0,7.0,"Jalen Hurts aborted snap, recovered by Miles Sanders at PHI-14 and returned for 2 yards Miles Sanders for no gain (tackle by Za'Darius Smith)",0.0,-1.28,2.0,2022,32
1.0,6:29,2.0,18.0,PHI 15,0.0,7.0,Jalen Hurts pass complete deep middle to Quez Watkins for 16 yards (tackle by Camryn Bynum),-1.28,0.3,2.0,2022,32
1.0,5:45,3.0,2.0,PHI 31,0.0,7.0,"Jalen Hurts pass complete short right to Dallas Goedert for no gain. Penalty on DeVonta Smith: Offensive Pass Interference, 10 yards (accepted) (no play)",0.3,-1.02,2.0,2022,32
1.0,5:17,3.0,12.0,PHI 21,0.0,7.0,Jalen Hurts sacked by D.J. Wonnum for -8 yards,-1.02,-2.49,2.0,2022,32
1.0,4:46,4.0,20.0,PHI 13,0.0,7.0,"Arryn Siposs punts 49 yards, returned by Jalen Reagor for 1 yard (tackle by Zech McPhearson)",-2.49,-1.53,2.0,2022,32
1.0,4:37,1.0,10.0,MIN 39,0.0,7.0,Dalvin Cook up the middle for 3 yards (tackle by T.J. Edwards),1.53,1.39,2.0,2022,32
1.0,4:00,2.0,7.0,MIN 42,0.0,7.0,Kirk Cousins pass complete short right to Irv Smith for 2 yards (tackle by Brandon Graham),1.39,0.96,2.0,2022,32
