Quarter,Time,Down,ToGo,Location,ATL,LAR,Detail,EPB,EPA,week,year,game_id
,,,,,,,"Rams won the coin toss and deferred, Falcons to receive the opening kickoff.",,,2.0,2022,25
1.0,15:00,,,LAR 35,0.0,0.0,"Matt Gay kicks off 65 yards, touchback.",0.0,0.61,2.0,2022,25
1.0,15:00,1.0,10.0,ATL 25,0.0,0.0,Marcus Mariota pass complete short middle to Olamide Zaccheaus for 10 yards (tackle by Nick Scott),0.61,1.27,2.0,2022,25
1.0,14:22,1.0,10.0,ATL 35,0.0,0.0,Tyler Allgeier right tackle for 5 yards (tackle by Bobby Wagner and Aaron Donald),1.27,1.4,2.0,2022,25
1.0,13:45,2.0,5.0,ATL 40,0.0,0.0,Cordarrelle Patterson right tackle for 4 yards (tackle by A'Shawn Robinson and Bobby Wagner),1.4,1.22,2.0,2022,25
1.0,13:02,3.0,1.0,ATL 44,0.0,0.0,Marcus Mariota pass complete short right to Kyle Pitts for 13 yards (tackle by Troy Hill),1.22,2.72,2.0,2022,25
1.0,12:22,1.0,10.0,LAR 43,0.0,0.0,Marcus Mariota pass incomplete short right,2.72,2.18,2.0,2022,25
1.0,12:14,2.0,10.0,LAR 43,0.0,0.0,Tyler Allgeier up the middle for 2 yards (tackle by A'Shawn Robinson and Ernest Jones),2.18,1.75,2.0,2022,25
1.0,11:32,3.0,8.0,LAR 41,0.0,0.0,Marcus Mariota scrambles right end for 10 yards (tackle by Leonard Floyd),1.75,3.51,2.0,2022,25
1.0,10:43,1.0,10.0,LAR 31,0.0,0.0,Cordarrelle Patterson right end for 3 yards (tackle by Terrell Lewis and Ernest Jones),3.51,3.37,2.0,2022,25
1.0,10:03,2.0,7.0,LAR 28,0.0,0.0,Marcus Mariota pass complete short left to Drake London for 10 yards (tackle by David Long),3.37,4.37,2.0,2022,25
1.0,9:21,1.0,10.0,LAR 18,0.0,0.0,Tyler Allgeier up the middle for 2 yards (tackle by Marquise Copeland),4.37,4.09,2.0,2022,25
1.0,8:39,2.0,8.0,LAR 16,0.0,0.0,Marcus Mariota pass complete short right to Bryan Edwards for 2 yards (tackle by David Long),4.09,3.63,2.0,2022,25
1.0,8:07,3.0,6.0,LAR 14,0.0,0.0,"Penalty on Chris Lindstrom: False Start, 5 yards (accepted) (no play)",3.63,2.97,2.0,2022,25
1.0,7:40,3.0,11.0,LAR 19,0.0,0.0,Marcus Mariota sacked by Bobby Wagner for -7 yards,2.97,1.74,2.0,2022,25
1.0,6:59,4.0,18.0,LAR 26,0.0,0.0,Younghoe Koo 44 yard field goal no good,1.74,-1.2,2.0,2022,25
1.0,6:54,1.0,10.0,LAR 34,0.0,0.0,"Darrell Henderson right tackle for 2 yards (tackle by Anthony Rush and Adetokunbo Ogundeji). Penalty on Grady Jarrett: Defensive Holding, 5 yards (accepted)",1.2,1.66,2.0,2022,25
1.0,6:29,1.0,10.0,LAR 41,0.0,0.0,Matthew Stafford pass complete short middle to Allen Robinson for 15 yards (tackle by Casey Hayward),1.66,2.65,2.0,2022,25
1.0,6:04,1.0,10.0,ATL 44,0.0,0.0,Matthew Stafford pass complete short right to Ben Skowronek for 8 yards (tackle by Adetokunbo Ogundeji),2.65,3.19,2.0,2022,25
1.0,5:28,2.0,2.0,ATL 36,0.0,0.0,Darrell Henderson right tackle for 3 yards (tackle by AJ Terrell and Adetokunbo Ogundeji),3.19,3.38,2.0,2022,25
1.0,4:48,1.0,10.0,ATL 33,0.0,0.0,Cam Akers right end for 6 yards (tackle by Mykal Walker and Rashaan Evans),3.38,3.65,2.0,2022,25
1.0,4:04,2.0,4.0,ATL 27,0.0,0.0,Matthew Stafford pass complete short right to Tyler Higbee for 18 yards (tackle by Richie Grant),3.65,5.14,2.0,2022,25
1.0,3:16,1.0,9.0,ATL 9,0.0,0.0,Cam Akers left tackle for 3 yards (tackle by Ta'Quon Graham and Rashaan Evans),5.14,4.95,2.0,2022,25
1.0,2:33,2.0,6.0,ATL 6,0.0,0.0,Matthew Stafford pass complete short middle to Tyler Higbee for 5 yards (tackle by Mykal Walker and Erik Harris),4.95,5.17,2.0,2022,25
