Unnamed: 0,NWE,PIT,week,year,game_id
First Downs,18,16,2.0,2022,24
Rush-Yds-TDs,31-124-1,22-91-0,2.0,2022,24
Cmp-Att-Yd-TD-INT,21-35-252-1-1,21-33-168-1-1,2.0,2022,24
Sacked-Yards,0-0,3-16,2.0,2022,24
Net Pass Yards,252,152,2.0,2022,24
Total Yards,376,243,2.0,2022,24
Fumbles-Lost,0-0,1-1,2.0,2022,24
Turnovers,1,2,2.0,2022,24
Penalties-Yards,7-55,3-20,2.0,2022,24
Third Down Conv.,9-17,8-15,2.0,2022,24
Fourth Down Conv.,0-0,0-0,2.0,2022,24
Time of Possession,33:36,26:24,2.0,2022,24
