Unnamed: 0,HOU,DEN,week,year,game_id
First Downs,15,20,2.0,2022,29
Rush-Yds-TDs,18-80-0,31-149-0,2.0,2022,29
Cmp-Att-Yd-TD-INT,19-38-177-0-0,14-31-219-1-1,2.0,2022,29
Sacked-Yards,3-23,3-18,2.0,2022,29
Net Pass Yards,154,201,2.0,2022,29
Total Yards,234,350,2.0,2022,29
Fumbles-Lost,2-0,0-0,2.0,2022,29
Turnovers,0,1,2.0,2022,29
Penalties-Yards,8-94,13-100,2.0,2022,29
Third Down Conv.,2-13,3-12,2.0,2022,29
Fourth Down Conv.,1-3,1-1,2.0,2022,29
Time of Possession,27:27,32:33,2.0,2022,29
