Unnamed: 0,LAC,KAN,week,year,game_id
First Downs,21,15,2.0,2022,17
Rush-Yds-TDs,24-75-0,18-93-0,2.0,2022,17
Cmp-Att-Yd-TD-INT,33-48-334-3-1,24-35-235-2-0,2.0,2022,17
Sacked-Yards,2-8,1-9,2.0,2022,17
Net Pass Yards,326,226,2.0,2022,17
Total Yards,401,319,2.0,2022,17
Fumbles-Lost,0-0,0-0,2.0,2022,17
Turnovers,1,0,2.0,2022,17
Penalties-Yards,3-25,6-54,2.0,2022,17
Third Down Conv.,5-16,4-12,2.0,2022,17
Fourth Down Conv.,4-4,0-0,2.0,2022,17
Time of Possession,33:37,26:23,2.0,2022,17
