Unnamed: 0,TAM,NOR,week,year,game_id
First Downs,13,18,2.0,2022,23
Rush-Yds-TDs,30-72-0,20-100-0,2.0,2022,23
Cmp-Att-Yd-TD-INT,18-34-190-1-0,25-40-236-1-3,2.0,2022,23
Sacked-Yards,1-2,6-28,2.0,2022,23
Net Pass Yards,188,208,2.0,2022,23
Total Yards,260,308,2.0,2022,23
Fumbles-Lost,1-1,4-2,2.0,2022,23
Turnovers,1,5,2.0,2022,23
Penalties-Yards,8-101,9-60,2.0,2022,23
Third Down Conv.,5-17,4-13,2.0,2022,23
Fourth Down Conv.,0-1,0-1,2.0,2022,23
Time of Possession,29:42,30:18,2.0,2022,23
