Quarter,Time,Down,ToGo,Location,WAS,DET,Detail,EPB,EPA,week,year,game_id
,,,,,,,"Commanders won the coin toss and deferred, Lions to receive the opening kickoff.",,,2.0,2022,21
1.0,15:00,,,WAS 35,0.0,0.0,"Joey Slye kicks off 65 yards, touchback.",0.0,0.61,2.0,2022,21
1.0,15:00,1.0,10.0,DET 25,0.0,0.0,Jared Goff pass complete short right to Amon-Ra St. Brown for 3 yards (tackle by Darrick Forrest),0.61,0.47,2.0,2022,21
1.0,14:35,2.0,7.0,DET 28,0.0,0.0,"Penalty on Penei Sewell: False Start, 5 yards (accepted) (no play)",0.47,-0.21,2.0,2022,21
1.0,14:27,2.0,12.0,DET 23,0.0,0.0,Jared Goff pass incomplete short right intended for T.J. Hockenson (defended by William Jackson),-0.21,-0.89,2.0,2022,21
1.0,14:21,3.0,12.0,DET 23,0.0,0.0,Jared Goff sacked by Jamin Davis for -12 yards,-0.89,-2.49,2.0,2022,21
1.0,13:45,4.0,24.0,DET 11,0.0,0.0,"Jack Fox punts 60 yards, returned by Dax Milne for 3 yards (tackle by Bobby Price)",-2.49,-1.07,2.0,2022,21
1.0,13:35,1.0,10.0,WAS 32,0.0,0.0,Carson Wentz pass complete short left to Logan Thomas for 4 yards (tackle by Will Harris),1.07,1.07,2.0,2022,21
1.0,13:05,2.0,6.0,WAS 36,0.0,0.0,Antonio Gibson left end for 2 yards (tackle by Alex Anzalone),1.07,0.63,2.0,2022,21
1.0,12:21,3.0,4.0,WAS 38,0.0,0.0,Carson Wentz sacked by Aidan Hutchinson for no gain,0.63,-0.85,2.0,2022,21
1.0,11:43,4.0,4.0,WAS 38,0.0,0.0,"Tress Way punts 62 yards, touchback.",-0.85,-0.28,2.0,2022,21
1.0,11:32,1.0,10.0,DET 20,0.0,0.0,D'Andre Swift left end for 4 yards (tackle by Benjamin St-Juste),0.28,0.27,2.0,2022,21
1.0,10:55,2.0,6.0,DET 24,0.0,0.0,Jamaal Williams up the middle for 3 yards (tackle by Daron Payne and Cole Holcomb),0.27,-0.03,2.0,2022,21
1.0,10:18,3.0,3.0,DET 27,0.0,0.0,Jared Goff pass complete short middle to Amon-Ra St. Brown for 49 yards (tackle by Darrick Forrest),-0.03,3.97,2.0,2022,21
1.0,9:35,1.0,10.0,WAS 24,0.0,0.0,Jamaal Williams up the middle for 1 yard (tackle by Cole Holcomb and Daniel Wise),3.97,3.57,2.0,2022,21
1.0,8:56,2.0,9.0,WAS 23,0.0,0.0,Jared Goff pass incomplete deep left intended for D'Andre Swift,3.57,2.87,2.0,2022,21
1.0,8:51,3.0,9.0,WAS 23,0.0,0.0,Jared Goff pass complete short right to Amon-Ra St. Brown for 6 yards (tackle by Benjamin St-Juste),2.87,2.41,2.0,2022,21
1.0,8:10,4.0,3.0,WAS 17,0.0,3.0,Austin Seibert 35 yard field goal good,2.41,3.0,2.0,2022,21
1.0,8:06,,,DET 35,0.0,3.0,"Austin Seibert kicks off 68 yards, returned by Dax Milne for 19 yards (tackle by Chris Board)",0.0,-0.14,2.0,2022,21
1.0,8:01,1.0,10.0,WAS 16,0.0,3.0,"Carson Wentz pass incomplete short right. Penalty on Carson Wentz: Intentional Grounding, 12 yards (accepted)",-0.14,-1.66,2.0,2022,21
1.0,7:55,2.0,22.0,WAS 4,0.0,3.0,Antonio Gibson right tackle for 5 yards (tackle by Aidan Hutchinson),-1.66,-2.24,2.0,2022,21
1.0,7:10,3.0,17.0,WAS 9,0.0,3.0,Carson Wentz pass complete short left to Curtis Samuel for 8 yards (tackle by Jeff Okudah),-2.24,-2.32,2.0,2022,21
1.0,6:32,4.0,9.0,WAS 17,0.0,3.0,"Tress Way punts 48 yards, returned by Kalif Raymond for 8 yards (tackle by Jeremy Reaves)",-2.32,-1.8,2.0,2022,21
1.0,6:22,1.0,10.0,DET 43,0.0,3.0,D'Andre Swift right tackle for 50 yards (tackle by Bobby McCain),1.8,5.6,2.0,2022,21
1.0,5:31,,,,,,Timeout #1 by Detroit Lions,,,2.0,2022,21
1.0,5:31,1.0,7.0,WAS 7,0.0,3.0,Jamaal Williams up the middle for 4 yards (tackle by Jamin Davis and Cole Holcomb),5.6,5.53,2.0,2022,21
1.0,4:50,2.0,3.0,WAS 3,0.0,3.0,Jamaal Williams left end for no gain (tackle by Jamin Davis),5.53,4.72,2.0,2022,21
