Quarter,Time,Down,ToGo,Location,CIN,DAL,Detail,EPB,EPA,week,year,game_id
,,,,,,,"Bengals won the coin toss and deferred, Cowboys to receive the opening kickoff.",,,2.0,2022,27
1.0,15:00,,,CIN 35,0.0,0.0,"Evan McPherson kicks off 65 yards, touchback.",0.0,0.61,2.0,2022,27
1.0,15:00,1.0,10.0,DAL 25,0.0,0.0,Ezekiel Elliott left guard for 4 yards (tackle by B.J. Hill),0.61,0.6,2.0,2022,27
1.0,14:23,2.0,6.0,DAL 29,0.0,0.0,Tony Pollard left end for 7 yards (tackle by Mike Hilton),0.6,1.33,2.0,2022,27
1.0,13:55,1.0,10.0,DAL 36,0.0,0.0,Cooper Rush pass complete short right to CeeDee Lamb for 1 yard (tackle by Josh Tupou and Logan Wilson),1.33,0.93,2.0,2022,27
1.0,13:17,2.0,9.0,DAL 37,0.0,0.0,Ezekiel Elliott left tackle for 7 yards (tackle by B.J. Hill),0.93,1.16,2.0,2022,27
1.0,12:39,3.0,2.0,DAL 44,0.0,0.0,Cooper Rush pass incomplete short left intended for CeeDee Lamb,1.16,-0.46,2.0,2022,27
1.0,12:33,4.0,2.0,DAL 44,0.0,0.0,Cooper Rush pass complete short middle to Noah Brown for 17 yards (tackle by Jessie Bates),-0.46,2.98,2.0,2022,27
1.0,11:58,1.0,10.0,CIN 39,0.0,0.0,Cooper Rush pass complete short right to Dalton Schultz for 9 yards (tackle by Germaine Pratt),2.98,3.66,2.0,2022,27
1.0,11:15,2.0,1.0,CIN 30,0.0,0.0,Ezekiel Elliott up the middle for 7 yards (tackle by Logan Wilson),3.66,4.04,2.0,2022,27
1.0,10:31,1.0,10.0,CIN 23,0.0,0.0,Tony Pollard up the middle for 5 yards (tackle by Markus Bailey),4.04,4.21,2.0,2022,27
1.0,9:54,2.0,5.0,CIN 18,0.0,0.0,CeeDee Lamb left end for 6 yards (tackle by Chidobe Awuzie),4.21,4.78,2.0,2022,27
1.0,9:21,1.0,10.0,CIN 12,0.0,0.0,KaVontae Turpin right end for 3 yards (tackle by Germaine Pratt),4.78,4.64,2.0,2022,27
1.0,8:41,2.0,7.0,CIN 9,0.0,6.0,"Cooper Rush pass complete short right to Noah Brown for 9 yards, touchdown",4.64,7.0,2.0,2022,27
1.0,8:35,,,CIN 15,0.0,7.0,Brett Maher kicks extra point good,0.0,0.0,2.0,2022,27
1.0,8:35,,,DAL 35,0.0,7.0,"Brett Maher kicks off 65 yards, touchback.",0.0,0.61,2.0,2022,27
1.0,8:35,1.0,10.0,CIN 25,0.0,7.0,Joe Burrow pass complete short right to Joe Mixon for 11 yards (tackle by Anthony Brown),0.61,1.33,2.0,2022,27
1.0,8:04,1.0,10.0,CIN 36,0.0,7.0,Joe Mixon up the middle for 2 yards (tackle by Donovan Wilson),1.33,1.06,2.0,2022,27
1.0,7:26,2.0,8.0,CIN 38,0.0,7.0,Joe Mixon left guard for no gain (tackle by DeMarcus Lawrence),1.06,0.37,2.0,2022,27
1.0,6:45,3.0,8.0,CIN 38,0.0,7.0,Joe Burrow scrambles up the middle for 3 yards (tackle by DeMarcus Lawrence),0.37,0.76,2.0,2022,27
1.0,6:45,3.0,5.0,CIN 41,0.0,7.0,"Penalty on Anthony Barr: Unnecessary Roughness / Defense, 15 yards (accepted) (no play)",0.76,2.65,2.0,2022,27
1.0,6:21,1.0,10.0,DAL 44,0.0,7.0,Joe Burrow pass complete short right to Ja'Marr Chase for 17 yards (tackle by Jourdan Lewis and Leighton Vander Esch),2.65,3.78,2.0,2022,27
1.0,5:43,1.0,10.0,DAL 27,0.0,7.0,Ja'Marr Chase right end for 4 yards (tackle by Anthony Barr),3.78,3.77,2.0,2022,27
1.0,4:54,2.0,6.0,DAL 23,0.0,7.0,"Penalty on Alex Cappa: False Start, 5 yards (accepted) (no play)",3.77,3.1,2.0,2022,27
1.0,4:30,2.0,11.0,DAL 28,0.0,7.0,Joe Burrow sacked by Micah Parsons for -3 yards,3.1,2.02,2.0,2022,27
1.0,3:50,3.0,14.0,DAL 31,0.0,7.0,Joe Burrow pass complete short left to Hayden Hurst for 6 yards (tackle by Donovan Wilson),2.02,1.8,2.0,2022,27
1.0,3:08,4.0,8.0,DAL 25,3.0,7.0,Evan McPherson 43 yard field goal good,1.8,3.0,2.0,2022,27
1.0,3:05,,,CIN 35,3.0,7.0,"Evan McPherson kicks off 65 yards, touchback.",0.0,0.61,2.0,2022,27
1.0,3:05,1.0,10.0,DAL 25,3.0,7.0,Tony Pollard left tackle for 3 yards (tackle by D.J. Reader and Vonn Bell),0.61,0.47,2.0,2022,27
1.0,2:37,2.0,7.0,DAL 28,3.0,7.0,Tony Pollard left tackle for 2 yards (tackle by D.J. Reader),0.47,0.04,2.0,2022,27
1.0,1:55,3.0,5.0,DAL 30,3.0,7.0,"Penalty on Simi Fehoko: False Start, 5 yards (accepted) (no play)",0.04,-0.62,2.0,2022,27
1.0,1:34,3.0,10.0,DAL 25,3.0,7.0,Cooper Rush pass complete deep left to Noah Brown for 28 yards (tackle by Eli Apple),-0.62,2.46,2.0,2022,27
