Quarter,Time,Tm,Detail,LAC,KAN,week,year,game_id
1.0,5:58,Chargers,Dustin Hopkins 31 yard field goal,3,0,2.0,2022,17
2.0,14:57,Chargers,Zander Horvath 1 yard pass from Justin Herbert (Dustin Hopkins kick),10,0,2.0,2022,17
,11:38,Chiefs,Jerick McKinnon 9 yard pass from Patrick Mahomes (Matt Ammendola kick),10,7,2.0,2022,17
3.0,9:52,Chargers,Mike Williams 15 yard pass from Justin Herbert (Dustin Hopkins kick),17,7,2.0,2022,17
,7:22,Chiefs,Justin Watson 41 yard pass from Patrick Mahomes (Matt Ammendola kick),17,14,2.0,2022,17
4.0,14:58,Chiefs,Matt Ammendola 19 yard field goal,17,17,2.0,2022,17
,10:29,Chiefs,Jaylen Watson 99 yard interception return (Matt Ammendola kick),17,24,2.0,2022,17
,3:20,Chiefs,Matt Ammendola 31 yard field goal,17,27,2.0,2022,17
,1:11,Chargers,Josh Palmer 7 yard pass from Justin Herbert (Dustin Hopkins kick),24,27,2.0,2022,17
