Unnamed: 0,CHI,GNB,week,year,game_id
First Downs,11,26,2.0,2022,30
Rush-Yds-TDs,27-180-1,38-203-1,2.0,2022,30
Cmp-Att-Yd-TD-INT,7-11-70-0-1,19-25-234-2-0,2.0,2022,30
Sacked-Yards,3-22,3-23,2.0,2022,30
Net Pass Yards,48,211,2.0,2022,30
Total Yards,228,414,2.0,2022,30
Fumbles-Lost,1-0,3-1,2.0,2022,30
Turnovers,1,1,2.0,2022,30
Penalties-Yards,7-50,3-25,2.0,2022,30
Third Down Conv.,1-7,5-9,2.0,2022,30
Fourth Down Conv.,0-1,0-0,2.0,2022,30
Time of Possession,22:45,37:15,2.0,2022,30
