Quarter,Time,Down,ToGo,Location,TAM,NOR,Detail,EPB,EPA,week,year,game_id
,,,,,,,"Buccaneers won the coin toss and deferred, Saints to receive the opening kickoff.",,,2.0,2022,23
1.0,15:00,,,TAM 35,0.0,0.0,"Jake Camarda kicks off 65 yards, touchback.",0.0,0.61,2.0,2022,23
1.0,15:00,1.0,10.0,NOR 25,0.0,0.0,Jameis Winston pass complete short left to Adam Prentice for 2 yards. Adam Prentice fumbles (forced by Devin White). Adam Prentice fumbles out of bounds,0.61,0.33,2.0,2022,23
1.0,14:24,2.0,8.0,NOR 27,0.0,0.0,Mark Ingram left tackle for 8 yards (tackle by Antoine Winfield),0.33,1.27,2.0,2022,23
1.0,13:42,1.0,10.0,NOR 35,0.0,0.0,Mark Ingram right guard for 12 yards (tackle by Antoine Winfield),1.27,2.06,2.0,2022,23
1.0,13:06,1.0,10.0,NOR 47,0.0,0.0,Jameis Winston pass complete short right to Tony Jones for 7 yards (tackle by Carlton Davis),2.06,2.46,2.0,2022,23
1.0,12:24,2.0,3.0,TAM 46,0.0,0.0,Jameis Winston pass complete short right to Michael Thomas for 13 yards (tackle by Antoine Winfield),2.46,3.38,2.0,2022,23
1.0,11:43,1.0,10.0,TAM 33,0.0,0.0,Mark Ingram right end for 3 yards (tackle by Akiem Hicks),3.38,3.24,2.0,2022,23
1.0,11:05,2.0,7.0,TAM 30,0.0,0.0,Taysom Hill up the middle for 13 yards (tackle by Antoine Winfield and Logan Ryan),3.24,4.44,2.0,2022,23
1.0,10:25,1.0,10.0,TAM 17,0.0,0.0,Jameis Winston pass complete short right to Mark Ingram for no gain (tackle by Mike Edwards and Devin White),4.44,3.85,2.0,2022,23
1.0,9:46,2.0,10.0,TAM 17,0.0,0.0,Jameis Winston pass complete short right to Tony Jones for 5 yards (tackle by Joe Tryon-Shoyinka),3.85,3.88,2.0,2022,23
1.0,9:10,3.0,5.0,TAM 12,0.0,0.0,Jameis Winston pass incomplete short left intended for Chris Olave,3.88,2.68,2.0,2022,23
1.0,9:06,4.0,5.0,TAM 12,0.0,3.0,Wil Lutz 31 yard field goal good,2.68,3.0,2.0,2022,23
1.0,9:02,,,NOR 35,0.0,3.0,"Wil Lutz kicks off 65 yards, touchback.",0.0,0.61,2.0,2022,23
1.0,9:02,1.0,10.0,TAM 25,0.0,3.0,Leonard Fournette right guard for no gain (tackle by Shy Tuttle and Cameron Jordan),0.61,0.06,2.0,2022,23
1.0,8:21,2.0,10.0,TAM 25,0.0,3.0,Tom Brady pass incomplete short middle intended for Leonard Fournette (defended by Pete Werner),0.06,-0.62,2.0,2022,23
1.0,8:16,3.0,10.0,TAM 25,0.0,3.0,Tom Brady pass complete deep right to Scott Miller for 23 yards (tackle by P.J. Williams),-0.62,2.13,2.0,2022,23
1.0,7:45,1.0,10.0,TAM 48,0.0,3.0,Leonard Fournette right end for 1 yard (tackle by Marcus Maye and Demario Davis),2.13,1.72,2.0,2022,23
