Quarter,Time,Down,ToGo,Location,CAR,NYG,Detail,EPB,EPA,week,year,game_id
1.0,10:27,3.0,22.0,CAR 36,0.0,3.0,"Baker Mayfield pass complete short left to Robbie Anderson for 4 yards. Robbie Anderson fumbles (forced by Darnay Holmes), recovered by Adoree' Jackson at CAR-40 (tackle by Taylor Moton)",-0.69,-2.92,2.0,2022,18
1.0,10:17,1.0,10.0,CAR 40,0.0,3.0,Daniel Jones pass complete short left to Kadarius Toney for 2 yards (tackle by Donte Jackson),2.92,2.64,2.0,2022,18
1.0,9:39,2.0,8.0,CAR 38,0.0,3.0,Daniel Jones pass complete short left to Sterling Shepard for 3 yards (tackle by Frankie Luvu),2.64,2.34,2.0,2022,18
1.0,8:53,3.0,5.0,CAR 35,0.0,3.0,Daniel Jones pass complete short left to Saquon Barkley for 4 yards (tackle by Frankie Luvu),2.34,1.41,2.0,2022,18
1.0,8:16,4.0,1.0,CAR 31,0.0,3.0,Daniel Jones scrambles for 2 yards (tackle by Brian Burns),1.41,3.64,2.0,2022,18
1.0,7:43,1.0,10.0,CAR 29,0.0,3.0,Saquon Barkley right tackle for -1 yards (tackle by Frankie Luvu and Jaycee Horn),3.64,2.97,2.0,2022,18
1.0,7:03,2.0,11.0,CAR 30,0.0,3.0,Daniel Jones pass complete to Richie James for 5 yards (tackle by Xavier Woods),2.97,2.94,2.0,2022,18
1.0,6:20,3.0,6.0,CAR 25,0.0,3.0,Daniel Jones pass complete short left to Tanner Hudson for 7 yards (tackle by Jeremy Chinn),2.94,4.37,2.0,2022,18
1.0,5:41,1.0,10.0,CAR 18,0.0,3.0,Daniel Jones pass incomplete short left,4.37,3.8,2.0,2022,18
1.0,5:33,2.0,10.0,CAR 18,0.0,3.0,Daniel Jones pass complete short middle to David Sills for 13 yards (tackle by Xavier Woods),3.8,6.06,2.0,2022,18
1.0,4:48,1.0,5.0,CAR 5,0.0,3.0,Saquon Barkley left end for 3 yards (tackle by Bravvion Roy and Marquis Haynes),6.06,5.72,2.0,2022,18
1.0,4:02,2.0,2.0,CAR 2,0.0,3.0,Daniel Jones left end for -6 yards (tackle by Frankie Luvu),5.72,3.58,2.0,2022,18
1.0,3:16,3.0,8.0,CAR 8,0.0,3.0,Daniel Jones sacked by Brian Burns for -7 yards,3.58,2.44,2.0,2022,18
1.0,2:33,4.0,15.0,CAR 15,0.0,6.0,Graham Gano 33 yard field goal good,2.44,3.0,2.0,2022,18
1.0,2:30,,,NYG 35,0.0,6.0,"Graham Gano kicks off 50 yards, returned by Chuba Hubbard for 14 yards (tackle by Dane Belton)",0.0,0.87,2.0,2022,18
1.0,2:26,1.0,10.0,CAR 29,0.0,6.0,Christian McCaffrey left tackle for 8 yards (tackle by Austin Calitro),0.87,1.41,2.0,2022,18
1.0,1:39,2.0,2.0,CAR 37,0.0,6.0,Christian McCaffrey left tackle for 2 yards (tackle by Austin Calitro and Adoree' Jackson),1.41,1.53,2.0,2022,18
1.0,1:08,1.0,10.0,CAR 39,0.0,6.0,Baker Mayfield pass incomplete short left intended for Robbie Anderson (defended by Xavier McKinney),1.53,0.99,2.0,2022,18
1.0,1:04,2.0,10.0,CAR 39,0.0,6.0,Baker Mayfield pass complete short left to Christian McCaffrey for 6 yards (tackle by Julian Love),0.99,1.09,2.0,2022,18
1.0,0:36,3.0,4.0,CAR 45,0.0,6.0,Baker Mayfield scrambles left end for 3 yards. Baker Mayfield fumbles (forced by Dexter Lawrence). Baker Mayfield fumbles out of bounds,1.09,-0.19,2.0,2022,18
1.0,0:05,,,,,,Timeout #1 by Carolina Panthers,,,2.0,2022,18
1.0,0:05,4.0,1.0,CAR 48,0.0,6.0,Christian McCaffrey right end for 3 yards (tackle by Xavier McKinney and Leonard Williams),-0.19,2.32,2.0,2022,18
2.0,15:00,1.0,10.0,NYG 49,0.0,6.0,Baker Mayfield pass incomplete deep left intended for Ian Thomas,2.32,1.78,2.0,2022,18
2.0,14:55,2.0,10.0,NYG 49,0.0,6.0,Baker Mayfield pass complete short middle to Giovanni Ricci for 16 yards (tackle by Julian Love),1.78,3.38,2.0,2022,18
2.0,14:31,1.0,10.0,NYG 33,0.0,6.0,Baker Mayfield pass complete deep left to Robbie Anderson for 19 yards (tackle by Xavier McKinney),3.38,4.65,2.0,2022,18
2.0,13:52,1.0,10.0,NYG 14,0.0,6.0,Christian McCaffrey left end for -1 yards (tackle by Julian Love),4.65,3.85,2.0,2022,18
2.0,13:11,2.0,11.0,NYG 15,0.0,6.0,Baker Mayfield scrambles right tackle for 2 yards (tackle by Adoree' Jackson),3.85,3.26,2.0,2022,18
2.0,12:23,3.0,9.0,NYG 13,0.0,6.0,Baker Mayfield pass incomplete short middle intended for Shi Smith,3.26,2.57,2.0,2022,18
2.0,12:19,4.0,9.0,NYG 13,3.0,6.0,Eddy Pineiro 31 yard field goal good,2.57,3.0,2.0,2022,18
2.0,12:15,,,CAR 35,3.0,6.0,"Eddy Pineiro kicks off 65 yards, touchback.",0.0,0.61,2.0,2022,18
2.0,12:15,1.0,10.0,NYG 25,3.0,6.0,Daniel Jones scrambles up the middle for 1 yard (tackle by Yetur Gross-Matos),0.61,0.2,2.0,2022,18
2.0,11:37,2.0,9.0,NYG 26,3.0,6.0,Daniel Jones pass complete short left to Sterling Shepard for 12 yards (tackle by C.J. Henderson),0.2,1.47,2.0,2022,18
2.0,10:52,1.0,10.0,NYG 38,3.0,6.0,Saquon Barkley right guard for -5 yards (tackle by Frankie Luvu),1.47,0.25,2.0,2022,18
2.0,10:11,2.0,15.0,NYG 33,3.0,6.0,"Daniel Jones pass complete deep left to Kadarius Toney for no gain (tackle by Myles Hartsfield). Penalty on David Sills: Offensive Pass Interference, 10 yards (accepted) (no play)",0.25,-1.1,2.0,2022,18
2.0,9:38,2.0,25.0,NYG 23,3.0,6.0,Daniel Jones pass complete short left to Richie James for 10 yards (tackle by Marquis Haynes and Jeremy Chinn),-1.1,-0.43,2.0,2022,18
2.0,9:00,3.0,15.0,NYG 33,3.0,6.0,Daniel Jones pass incomplete short left intended for Matt Breida (defended by Derrick Brown),-0.43,-1.18,2.0,2022,18
2.0,8:56,4.0,15.0,NYG 33,3.0,6.0,"Jamie Gillan punts 67 yards, touchback.",-1.18,-0.28,2.0,2022,18
2.0,8:49,1.0,10.0,CAR 20,3.0,6.0,Baker Mayfield pass incomplete deep left intended for D.J. Moore,0.28,-0.27,2.0,2022,18
2.0,8:45,2.0,10.0,CAR 20,3.0,6.0,Baker Mayfield pass complete short left to Christian McCaffrey for 6 yards (tackle by Xavier McKinney),-0.27,-0.16,2.0,2022,18
2.0,8:10,3.0,4.0,CAR 26,3.0,6.0,Baker Mayfield pass complete short middle to Ian Thomas for 13 yards (tackle by Dane Belton),-0.16,1.53,2.0,2022,18
2.0,7:35,1.0,10.0,CAR 39,3.0,6.0,D'Onta Foreman right tackle for 7 yards (tackle by Julian Love and Justin Ellis),1.53,1.93,2.0,2022,18
2.0,6:56,2.0,3.0,CAR 46,3.0,6.0,D'Onta Foreman up the middle for 2 yards (tackle by Nick Williams),1.93,1.49,2.0,2022,18
2.0,6:17,3.0,1.0,CAR 48,3.0,6.0,Baker Mayfield pass incomplete short right intended for D.J. Moore (defended by Adoree' Jackson),1.49,-0.19,2.0,2022,18
