Quarter,Time,Down,ToGo,Location,LAC,KAN,Detail,EPB,EPA,week,year,game_id
,,,,,,,"Chargers won the coin toss and deferred, Chiefs to receive the opening kickoff.",,,2.0,2022,17
1.0,15:00,,,LAC 35,0.0,0.0,"Dustin Hopkins kicks off 65 yards, touchback.",0.0,0.61,2.0,2022,17
1.0,15:00,1.0,10.0,KAN 25,0.0,0.0,Clyde Edwards-Helaire right guard for 5 yards (tackle by Drue Tranquill),0.61,0.74,2.0,2022,17
1.0,14:31,2.0,5.0,KAN 30,0.0,0.0,Clyde Edwards-Helaire up the middle for 4 yards (tackle by Sebastian Joseph-Day),0.74,0.56,2.0,2022,17
1.0,13:51,3.0,1.0,KAN 34,0.0,0.0,Michael Burton left guard for 6 yards (tackle by Morgan Fox),0.56,1.6,2.0,2022,17
1.0,13:20,1.0,10.0,KAN 40,0.0,0.0,Patrick Mahomes pass complete short left to Clyde Edwards-Helaire for 10 yards (tackle by Drue Tranquill and Derwin James),1.6,2.26,2.0,2022,17
1.0,12:41,1.0,10.0,KAN 50,0.0,0.0,Patrick Mahomes pass complete short left to Michael Burton for 2 yards (tackle by Kenneth Murray),2.26,1.98,2.0,2022,17
1.0,12:07,2.0,8.0,LAC 48,0.0,0.0,Patrick Mahomes pass complete short right to Travis Kelce for 6 yards (tackle by Derwin James),1.98,2.08,2.0,2022,17
1.0,11:31,3.0,2.0,LAC 42,0.0,0.0,Mecole Hardman right end for -4 yards (tackle by Joey Bosa),2.08,0.2,2.0,2022,17
1.0,10:47,4.0,6.0,LAC 46,0.0,0.0,"Tommy Townsend punts 46 yards, touchback.",0.2,-0.28,2.0,2022,17
1.0,10:39,1.0,10.0,LAC 20,0.0,0.0,Justin Herbert pass complete short left to Mike Williams for 9 yards (tackle by L'Jarius Sneed),0.28,0.95,2.0,2022,17
1.0,10:11,2.0,1.0,LAC 29,0.0,0.0,Justin Herbert pass complete short left to Mike Williams for 15 yards (tackle by Rashad Fenton),0.95,1.86,2.0,2022,17
1.0,9:47,1.0,10.0,LAC 44,0.0,0.0,Justin Herbert pass incomplete short left,1.86,1.32,2.0,2022,17
1.0,9:42,2.0,10.0,LAC 44,0.0,0.0,Austin Ekeler left guard for 8 yards (tackle by Justin Reid),1.32,1.69,2.0,2022,17
1.0,9:04,3.0,2.0,KAN 48,0.0,0.0,Justin Herbert pass complete short right to DeAndre Carter for 12 yards (tackle by L'Jarius Sneed),1.69,3.18,2.0,2022,17
1.0,8:26,1.0,10.0,KAN 36,0.0,0.0,Joshua Kelley right tackle for 7 yards (tackle by Carlos Dunlap),3.18,3.58,2.0,2022,17
1.0,7:46,2.0,3.0,KAN 29,0.0,0.0,Justin Herbert pass incomplete short right intended for Josh Palmer,3.58,2.87,2.0,2022,17
1.0,7:40,3.0,3.0,KAN 29,0.0,0.0,"Justin Herbert pass incomplete short left intended for Josh Palmer. Penalty on Rashad Fenton: Defensive Pass Interference, 8 yards (accepted) (no play)",2.87,4.17,2.0,2022,17
1.0,7:35,1.0,10.0,KAN 21,0.0,0.0,Justin Herbert pass incomplete deep right intended for Mike Williams,4.17,3.63,2.0,2022,17
1.0,7:30,2.0,10.0,KAN 21,0.0,0.0,Justin Herbert pass complete short left to Austin Ekeler for -3 yards (tackle by Willie Gay),3.63,2.54,2.0,2022,17
1.0,6:48,3.0,13.0,KAN 24,0.0,0.0,Justin Herbert pass complete short right to Gerald Everett for 11 yards (tackle by Bryan Cook),2.54,2.69,2.0,2022,17
1.0,6:01,4.0,2.0,KAN 13,3.0,0.0,Dustin Hopkins 31 yard field goal good,2.69,3.0,2.0,2022,17
1.0,5:58,,,LAC 35,3.0,0.0,"Dustin Hopkins kicks off 65 yards, touchback.",0.0,0.61,2.0,2022,17
1.0,5:58,1.0,10.0,KAN 25,3.0,0.0,Clyde Edwards-Helaire left guard for 3 yards (tackle by Kyle Van Noy),0.61,0.47,2.0,2022,17
1.0,5:19,2.0,7.0,KAN 28,3.0,0.0,Patrick Mahomes sacked by Khalil Mack for -9 yards,0.47,-1.51,2.0,2022,17
1.0,4:34,3.0,16.0,KAN 19,3.0,0.0,Patrick Mahomes pass complete short left to Jerick McKinnon for -5 yards (tackle by Derwin James and Joey Bosa),-1.51,-2.47,2.0,2022,17
1.0,3:58,4.0,21.0,KAN 14,3.0,0.0,"Tommy Townsend punts 49 yards, returned by DeAndre Carter for 5 yards (tackle by Elijah Lee)",-2.47,-1.73,2.0,2022,17
1.0,3:47,1.0,10.0,LAC 42,3.0,0.0,Justin Herbert pass complete short right to Mike Williams for 8 yards (tackle by Justin Reid),1.73,2.27,2.0,2022,17
1.0,3:10,2.0,2.0,LAC 50,3.0,0.0,Austin Ekeler right tackle for -4 yards (tackle by Willie Gay),2.27,1.03,2.0,2022,17
1.0,2:28,3.0,6.0,LAC 46,3.0,0.0,Justin Herbert pass complete short right to Mike Williams for 5 yards (tackle by Jaylen Watson),1.03,0.0,2.0,2022,17
1.0,2:01,4.0,1.0,KAN 49,3.0,0.0,Justin Herbert up the middle for 2 yards (tackle by Nick Bolton),0.0,2.46,2.0,2022,17
1.0,1:22,1.0,10.0,KAN 47,3.0,0.0,Sony Michel left guard for 7 yards (tackle by Willie Gay and Nick Bolton),2.46,2.86,2.0,2022,17
1.0,0:40,2.0,3.0,KAN 40,3.0,0.0,"Justin Herbert pass complete deep left to Mike Williams for 39 yards (tackle by Rashad Fenton). Penalty on Rashad Fenton: Defensive Holding, 5 yards (declined) . Penalty on Rashad Fenton: Defensive Pass Interference, 15 yards (declined)",2.86,6.97,2.0,2022,17
1.0,0:25,1.0,1.0,KAN 1,3.0,0.0,Sony Michel right end for no gain (tackle by L'Jarius Sneed and Willie Gay),6.97,5.91,2.0,2022,17
2.0,15:00,2.0,1.0,KAN 1,9.0,0.0,"Justin Herbert pass complete short right to Zander Horvath for 1 yard, touchdown",5.91,7.0,2.0,2022,17
