Quarter,Time,Tm,Detail,CHI,GNB,week,year,game_id
1.0,8:33,Packers,Mason Crosby 40 yard field goal,0,3,2.0,2022,30
,4:37,Bears,Justin Fields 3 yard rush (Cairo Santos kick),7,3,2.0,2022,30
2.0,14:54,Packers,Aaron Jones 15 yard rush (Mason Crosby kick),7,10,2.0,2022,30
,4:36,Packers,Aaron Jones 8 yard pass from Aaron Rodgers (Mason Crosby kick),7,17,2.0,2022,30
,0:32,Packers,Allen Lazard 5 yard pass from Aaron Rodgers (Mason Crosby kick),7,24,2.0,2022,30
3.0,5:11,Bears,Cairo Santos 44 yard field goal,10,24,2.0,2022,30
4.0,2:28,Packers,Mason Crosby 28 yard field goal,10,27,2.0,2022,30
