Quarter,Time,Down,ToGo,Location,TEN,BUF,Detail,EPB,EPA,week,year,game_id
,,,,,,,"Titans won the coin toss and deferred, Bills to receive the opening kickoff.",,,2.0,2022,31
1.0,15:00,,,TEN 35,0.0,0.0,"Randy Bullock kicks off 65 yards,",0.0,0.61,2.0,2022,31
1.0,15:00,1.0,10.0,BUF 25,0.0,0.0,Josh Allen pass complete short middle to Stefon Diggs for 4 yards (tackle by Kevin Byard),0.61,0.54,2.0,2022,31
1.0,14:21,2.0,6.0,BUF 28,0.0,0.0,Devin Singletary up the middle for 16 yards (tackle by Amani Hooker),0.54,1.93,2.0,2022,31
1.0,13:35,1.0,10.0,BUF 45,0.0,0.0,Devin Singletary left guard for no gain (tackle by Zach Cunningham),1.93,1.38,2.0,2022,31
1.0,12:59,2.0,10.0,BUF 45,0.0,0.0,Josh Allen pass complete short right to Devin Singletary for 1 yard (tackle by Roger McCreary),1.38,0.83,2.0,2022,31
1.0,12:36,3.0,9.0,BUF 46,0.0,0.0,Josh Allen scrambles left end for 10 yards (tackle by Roger McCreary),0.83,2.65,2.0,2022,31
1.0,11:55,1.0,10.0,TEN 44,0.0,0.0,Josh Allen pass incomplete short right intended for Stefon Diggs,2.65,2.11,2.0,2022,31
1.0,11:50,2.0,10.0,TEN 44,0.0,0.0,Devin Singletary left guard for 2 yards (tackle by Kevin Byard and Denico Autry),2.11,1.69,2.0,2022,31
1.0,11:14,3.0,8.0,TEN 42,0.0,0.0,Josh Allen pass complete short right to Jake Kumerow for 11 yards (tackle by Tre Avery),1.69,3.51,2.0,2022,31
1.0,10:37,1.0,10.0,TEN 31,0.0,0.0,Josh Allen pass complete short right to Stefon Diggs for 8 yards (tackle by Roger McCreary),3.51,4.05,2.0,2022,31
1.0,10:01,2.0,2.0,TEN 23,0.0,0.0,Josh Allen pass incomplete short left intended for Isaiah McKenzie,4.05,3.34,2.0,2022,31
1.0,9:56,3.0,2.0,TEN 23,0.0,0.0,Josh Allen pass complete short left to Dawson Knox for 12 yards (tackle by Roger McCreary),3.34,4.84,2.0,2022,31
1.0,9:16,,,,,,Timeout #1 by Tennessee Titans,,,2.0,2022,31
