Unnamed: 0,CIN,DAL,week,year,game_id
First Downs,19,19,2.0,2022,27
Rush-Yds-TDs,25-89-0,27-107-1,2.0,2022,27
Cmp-Att-Yd-TD-INT,24-36-199-1-0,19-31-235-1-0,2.0,2022,27
Sacked-Yards,6-34,1-5,2.0,2022,27
Net Pass Yards,165,230,2.0,2022,27
Total Yards,254,337,2.0,2022,27
Fumbles-Lost,1-0,1-1,2.0,2022,27
Turnovers,0,1,2.0,2022,27
Penalties-Yards,7-35,5-45,2.0,2022,27
Third Down Conv.,6-17,3-10,2.0,2022,27
Fourth Down Conv.,1-1,1-1,2.0,2022,27
Time of Possession,33:48,26:12,2.0,2022,27
