Unnamed: 0,SEA,SFO,week,year,game_id
First Downs,14,25,2.0,2022,26
Rush-Yds-TDs,14-36-0,45-189-2,2.0,2022,26
Cmp-Att-Yd-TD-INT,24-31-197-0-2,15-24-184-1-0,2.0,2022,26
Sacked-Yards,2-17,1-0,2.0,2022,26
Net Pass Yards,180,184,2.0,2022,26
Total Yards,216,373,2.0,2022,26
Fumbles-Lost,1-1,2-0,2.0,2022,26
Turnovers,3,0,2.0,2022,26
Penalties-Yards,10-106,1-26,2.0,2022,26
Third Down Conv.,2-7,6-15,2.0,2022,26
Fourth Down Conv.,0-0,2-3,2.0,2022,26
Time of Possession,21:40,38:20,2.0,2022,26
