Quarter,Time,Down,ToGo,Location,NWE,PIT,Detail,EPB,EPA,week,year,game_id
,,,,,,,"Patriots won the coin toss and deferred, Steelers to receive the opening kickoff.",,,2.0,2022,24
1.0,15:00,,,NWE 35,0.0,0.0,"Jake Bailey kicks off 65 yards, touchback.",0.0,0.61,2.0,2022,24
1.0,15:00,1.0,10.0,PIT 25,0.0,0.0,Najee Harris right guard for 2 yards (tackle by Lawrence Guy and Ja'Whaun Bentley),0.61,0.33,2.0,2022,24
1.0,14:21,2.0,8.0,PIT 27,0.0,0.0,Mitchell Trubisky pass complete short left to Chase Claypool for 4 yards (tackle by Myles Bryant),0.33,0.17,2.0,2022,24
1.0,13:45,3.0,4.0,PIT 31,0.0,0.0,Mitchell Trubisky pass incomplete short right intended for Pat Freiermuth,0.17,-1.31,2.0,2022,24
1.0,13:39,4.0,4.0,PIT 31,0.0,0.0,Pressley Harvin punts 69 yards,-1.31,-0.28,2.0,2022,24
1.0,13:27,1.0,10.0,NWE 20,0.0,0.0,Mac Jones pass incomplete short right intended for Lil'Jordan Humphrey,0.28,-0.27,2.0,2022,24
1.0,13:21,2.0,10.0,NWE 20,0.0,0.0,Damien Harris left tackle for 3 yards (tackle by Cameron Heyward and Larry Ogunjobi),-0.27,-0.56,2.0,2022,24
1.0,12:43,3.0,7.0,NWE 23,0.0,0.0,Mac Jones pass complete short middle to Jakobi Meyers for 8 yards (tackle by Tre Norwood and Robert Spillane),-0.56,1.0,2.0,2022,24
1.0,12:05,1.0,10.0,NWE 31,0.0,0.0,Damien Harris left tackle for 4 yards (tackle by Minkah Fitzpatrick and Larry Ogunjobi),1.0,1.0,2.0,2022,24
1.0,11:29,2.0,6.0,NWE 35,0.0,0.0,Mac Jones pass complete short middle to Jakobi Meyers for 2 yards (tackle by Myles Jack),1.0,0.56,2.0,2022,24
1.0,10:46,3.0,4.0,NWE 37,0.0,0.0,Mac Jones pass complete short left to Jakobi Meyers for 16 yards (tackle by Terrell Edmunds),0.56,2.46,2.0,2022,24
1.0,10:13,1.0,10.0,PIT 47,0.0,0.0,Mac Jones pass complete short middle to Nelson Agholor for 16 yards (tackle by Minkah Fitzpatrick),2.46,3.51,2.0,2022,24
1.0,9:32,1.0,10.0,PIT 31,0.0,0.0,Damien Harris up the middle for 9 yards (tackle by Devin Bush),3.51,4.18,2.0,2022,24
1.0,8:59,2.0,1.0,PIT 22,0.0,0.0,Damien Harris left guard for 5 yards (tackle by Cameron Sutton),4.18,4.44,2.0,2022,24
1.0,8:14,1.0,10.0,PIT 17,0.0,0.0,Mac Jones scrambles left guard for 2 yards (tackle by Cameron Heyward),4.44,4.15,2.0,2022,24
1.0,7:35,2.0,8.0,PIT 15,0.0,0.0,Mac Jones pass incomplete short left intended for Hunter Henry,4.15,3.34,2.0,2022,24
1.0,7:30,3.0,8.0,PIT 15,0.0,0.0,"Penalty on NWE: Delay of Game, 5 yards (accepted) (no play)",3.34,2.81,2.0,2022,24
1.0,7:30,3.0,13.0,PIT 20,0.0,0.0,Mac Jones pass complete short right to Nelson Agholor for 11 yards (tackle by Robert Spillane and Minkah Fitzpatrick),2.81,2.95,2.0,2022,24
1.0,6:45,4.0,2.0,PIT 9,3.0,0.0,Nick Folk 28 yard field goal good,2.95,3.0,2.0,2022,24
1.0,6:42,,,NWE 35,3.0,0.0,"Jake Bailey kicks off 65 yards, touchback.",0.0,0.61,2.0,2022,24
1.0,6:42,1.0,10.0,PIT 25,3.0,0.0,Najee Harris up the middle for no gain (tackle by Deatrich Wise),0.61,0.06,2.0,2022,24
1.0,6:06,2.0,10.0,PIT 25,3.0,0.0,Mitchell Trubisky scrambles right end for 7 yards (tackle by Myles Bryant),0.06,0.3,2.0,2022,24
