Unnamed: 0,TEN,BUF,week,year,game_id
First Downs,12,23,2.0,2022,31
Rush-Yds-TDs,27-80-1,24-101-0,2.0,2022,31
Cmp-Att-Yd-TD-INT,12-24-123-0-2,26-40-317-4-0,2.0,2022,31
Sacked-Yards,2-16,1-4,2.0,2022,31
Net Pass Yards,107,313,2.0,2022,31
Total Yards,187,414,2.0,2022,31
Fumbles-Lost,3-2,0-0,2.0,2022,31
Turnovers,4,0,2.0,2022,31
Penalties-Yards,9-87,8-49,2.0,2022,31
Third Down Conv.,4-12,5-13,2.0,2022,31
Fourth Down Conv.,1-1,2-3,2.0,2022,31
Time of Possession,28:26,31:34,2.0,2022,31
