Unnamed: 0,IND,JAX,week,year,game_id
First Downs,9,21,2.0,2022,20
Rush-Yds-TDs,13-54-0,37-96-1,2.0,2022,20
Cmp-Att-Yd-TD-INT,16-30-195-0-3,25-30-235-2-0,2.0,2022,20
Sacked-Yards,5-31,0-0,2.0,2022,20
Net Pass Yards,164,235,2.0,2022,20
Total Yards,218,331,2.0,2022,20
Fumbles-Lost,2-0,0-0,2.0,2022,20
Turnovers,3,0,2.0,2022,20
Penalties-Yards,5-30,3-19,2.0,2022,20
Third Down Conv.,2-10,6-15,2.0,2022,20
Fourth Down Conv.,0-2,2-3,2.0,2022,20
Time of Possession,21:45,38:15,2.0,2022,20
