Unnamed: 0,ARI,LVR,week,year,game_id
First Downs,28,20,2.0,2022,28
Rush-Yds-TDs,28-143-2,21-80-0,2.0,2022,28
Cmp-Att-Yd-TD-INT,31-49-277-1-1,25-39-252-2-0,2.0,2022,28
Sacked-Yards,1-7,1-8,2.0,2022,28
Net Pass Yards,270,244,2.0,2022,28
Total Yards,413,324,2.0,2022,28
Fumbles-Lost,0-0,2-1,2.0,2022,28
Turnovers,1,1,2.0,2022,28
Penalties-Yards,12-120,10-68,2.0,2022,28
Third Down Conv.,3-13,6-11,2.0,2022,28
Fourth Down Conv.,3-5,0-0,2.0,2022,28
Time of Possession,36:22,29:47,2.0,2022,28
