Quarter,Time,Down,ToGo,Location,NYJ,CLE,Detail,EPB,EPA,week,year,game_id
,,,,,,,"Browns won the coin toss, Jets to receive the opening kickoff.",,,2.0,2022,19
1.0,15:00,,,CLE 35,0.0,0.0,"Cade York kicks off 56 yards, returned by Braxton Berrios for 22 yards (tackle by Grant Delpit)",0.0,1.0,2.0,2022,19
1.0,14:56,1.0,10.0,NYJ 31,0.0,0.0,Michael Carter left guard for 1 yard (tackle by Jordan Elliott and Ronnie Harrison),1.0,0.6,2.0,2022,19
1.0,14:21,2.0,9.0,NYJ 32,0.0,0.0,Breece Hall left end for 8 yards (tackle by Grant Delpit and Greg Newsome),0.6,0.96,2.0,2022,19
1.0,13:46,3.0,1.0,NYJ 40,0.0,0.0,"Joe Flacco pass incomplete short right intended for Tyler Conklin (defended by Anthony Walker) NYJ challenged the pass completion ruling, and the play was upheld.",0.96,-0.72,2.0,2022,19
1.0,13:39,4.0,1.0,NYJ 40,0.0,0.0,"Braden Mann punts 50 yards, fair catch by Demetric Felton at CLE-10",-0.72,0.38,2.0,2022,19
1.0,13:32,1.0,10.0,CLE 10,0.0,0.0,Jacoby Brissett pass complete short left to Harrison Bryant for 8 yards (tackle by Kwon Alexander),-0.38,0.07,2.0,2022,19
1.0,12:59,2.0,2.0,CLE 18,0.0,0.0,Jacoby Brissett pass complete short right to Harrison Bryant for 7 yards (tackle by Quincy Williams),0.07,0.61,2.0,2022,19
1.0,12:23,1.0,10.0,CLE 25,0.0,0.0,Nick Chubb left guard for 1 yard (tackle by Quinnen Williams),0.61,0.2,2.0,2022,19
1.0,11:43,2.0,9.0,CLE 26,0.0,0.0,Jacoby Brissett scrambles left guard for 13 yards (tackle by Lamarcus Joyner),0.2,1.53,2.0,2022,19
1.0,11:00,1.0,10.0,CLE 39,0.0,0.0,Nick Chubb right tackle for 4 yards (tackle by Kwon Alexander),1.53,1.53,2.0,2022,19
1.0,10:15,2.0,6.0,CLE 43,0.0,0.0,Jacoby Brissett pass complete short left to David Njoku for 13 yards (tackle by Kwon Alexander and Jacob Martin),1.53,2.65,2.0,2022,19
1.0,9:36,1.0,10.0,NYJ 44,0.0,0.0,Jacoby Brissett pass complete short right to Nick Chubb for 7 yards (tackle by C.J. Mosley and Quincy Williams),2.65,3.06,2.0,2022,19
1.0,8:58,2.0,3.0,NYJ 37,0.0,0.0,Nick Chubb right tackle for 14 yards (tackle by Sauce Gardner and Michael Carter),3.06,4.04,2.0,2022,19
1.0,8:18,1.0,10.0,NYJ 23,0.0,0.0,Nick Chubb left end for 3 yards (tackle by D.J. Reed),4.04,3.9,2.0,2022,19
1.0,7:43,2.0,7.0,NYJ 20,0.0,0.0,Jacoby Brissett scrambles right end for 4 yards (tackle by Kwon Alexander),3.9,3.85,2.0,2022,19
1.0,6:57,3.0,3.0,NYJ 16,0.0,0.0,Jacoby Brissett pass complete short left to David Njoku for 4 yards (tackle by Lamarcus Joyner),3.85,4.78,2.0,2022,19
1.0,6:17,1.0,10.0,NYJ 12,0.0,0.0,Nick Chubb right guard for 8 yards (tackle by Quincy Williams and Sheldon Rankins),4.78,5.6,2.0,2022,19
1.0,5:36,2.0,2.0,NYJ 4,0.0,0.0,Nick Chubb left guard for no gain (tackle by Lamarcus Joyner),5.6,4.84,2.0,2022,19
1.0,5:00,3.0,2.0,NYJ 4,0.0,6.0,"Nick Chubb left tackle for 4 yards, touchdown",4.84,7.0,2.0,2022,19
1.0,4:55,,,NYJ 15,0.0,7.0,Cade York kicks extra point good,0.0,0.0,2.0,2022,19
1.0,4:55,,,CLE 35,0.0,7.0,"Cade York kicks off 65 yards, touchback.",0.0,0.61,2.0,2022,19
