Unnamed: 0,CAR,NYG,week,year,game_id
First Downs,18,18,2.0,2022,18
Rush-Yds-TDs,23-146-0,33-103-0,2.0,2022,18
Cmp-Att-Yd-TD-INT,14-29-145-1-0,22-34-176-1-0,2.0,2022,18
Sacked-Yards,2-16,3-14,2.0,2022,18
Net Pass Yards,129,162,2.0,2022,18
Total Yards,275,265,2.0,2022,18
Fumbles-Lost,3-2,0-0,2.0,2022,18
Turnovers,2,0,2.0,2022,18
Penalties-Yards,5-38,8-62,2.0,2022,18
Third Down Conv.,2-12,6-18,2.0,2022,18
Fourth Down Conv.,1-1,1-1,2.0,2022,18
Time of Possession,23:55,36:05,2.0,2022,18
