Unnamed: 0,NYJ,CLE,week,year,game_id
First Downs,20,29,2.0,2022,19
Rush-Yds-TDs,20-93-0,37-184-3,2.0,2022,19
Cmp-Att-Yd-TD-INT,27-45-324-4-0,22-27-229-1-1,2.0,2022,19
Sacked-Yards,2-15,1-8,2.0,2022,19
Net Pass Yards,309,221,2.0,2022,19
Total Yards,402,405,2.0,2022,19
Fumbles-Lost,2-1,0-0,2.0,2022,19
Turnovers,1,1,2.0,2022,19
Penalties-Yards,8-57,5-38,2.0,2022,19
Third Down Conv.,8-15,8-12,2.0,2022,19
Fourth Down Conv.,1-1,0-0,2.0,2022,19
Time of Possession,27:46,32:14,2.0,2022,19
