Unnamed: 0,WAS,DET,week,year,game_id
First Downs,21,17,2.0,2022,21
Rush-Yds-TDs,21-88-1,24-191-0,2.0,2022,21
Cmp-Att-Yd-TD-INT,30-46-337-3-1,20-34-256-4-0,2.0,2022,21
Sacked-Yards,5-29,3-22,2.0,2022,21
Net Pass Yards,308,234,2.0,2022,21
Total Yards,396,425,2.0,2022,21
Fumbles-Lost,1-0,0-0,2.0,2022,21
Turnovers,1,0,2.0,2022,21
Penalties-Yards,2-17,1-5,2.0,2022,21
Third Down Conv.,7-15,4-13,2.0,2022,21
Fourth Down Conv.,1-2,0-2,2.0,2022,21
Time of Possession,32:03,27:57,2.0,2022,21
