Player,Tm,Receiving Tgt,Receiving Rec,Receiving Yds,Receiving TD,Receiving Lng,week,year,game_id
Tua Tagovailoa,MIA,0,0,0,0,0,2.0,2022,22
Raheem Mostert,MIA,3,3,28,0,13,2.0,2022,22
Chase Edmonds,MIA,3,1,8,0,8,2.0,2022,22
Alec Ingold,MIA,2,2,15,0,13,2.0,2022,22
Tyreek Hill,MIA,13,11,190,2,60,2.0,2022,22
Jaylen Waddle,MIA,19,11,171,2,59,2.0,2022,22
Mike Gesicki,MIA,4,4,41,1,14,2.0,2022,22
Trent Sherfield,MIA,2,2,9,0,12,2.0,2022,22
Durham Smythe,MIA,1,1,5,0,5,2.0,2022,22
River Cracraft,MIA,2,1,2,1,2,2.0,2022,22
Cedrick Wilson Jr.,MIA,1,0,0,0,0,2.0,2022,22
Lamar Jackson,BAL,0,0,0,0,0,2.0,2022,22
Justice Hill,BAL,0,0,0,0,0,2.0,2022,22
Kenyan Drake,BAL,0,0,0,0,0,2.0,2022,22
Patrick Ricard,BAL,0,0,0,0,0,2.0,2022,22
Mike Davis,BAL,0,0,0,0,0,2.0,2022,22
Mark Andrews,BAL,11,9,104,1,25,2.0,2022,22
Rashod Bateman,BAL,7,4,108,1,75,2.0,2022,22
Isaiah Likely,BAL,5,4,43,0,34,2.0,2022,22
Devin Duvernay,BAL,2,2,42,0,26,2.0,2022,22
Demarcus Robinson,BAL,2,1,12,1,12,2.0,2022,22
Tylan Wallace,BAL,2,1,9,0,9,2.0,2022,22
