Quarter,Time,Tm,Detail,HOU,DEN,week,year,game_id
1.0,5:30,Broncos,Brandon McManus 20 yard field goal,0,3,2.0,2022,29
,2:19,Texans,Ka'imi Fairbairn 40 yard field goal,3,3,2.0,2022,29
2.0,7:20,Texans,Ka'imi Fairbairn 44 yard field goal,6,3,2.0,2022,29
,0:20,Broncos,Brandon McManus 24 yard field goal,6,6,2.0,2022,29
3.0,8:33,Texans,Ka'imi Fairbairn 24 yard field goal,9,6,2.0,2022,29
4.0,12:37,Broncos,Eric Saubert 22 yard pass from Russell Wilson (Brandon McManus kick),9,13,2.0,2022,29
,3:36,Broncos,Brandon McManus 50 yard field goal,9,16,2.0,2022,29
