Quarter,Time,Down,ToGo,Location,ARI,LVR,Detail,EPB,EPA,week,year,game_id
,,,,,,,"Cardinals won the coin toss and deferred, Raiders to receive the opening kickoff.",,,2.0,2022,28
1,15:00,,,ARI 35,0.0,0.0,"Matt Prater kicks off 65 yards, touchback.",0.0,0.61,2.0,2022,28
1,15:00,1.0,10.0,LVR 25,0.0,0.0,Josh Jacobs up the middle for 7 yards (tackle by Jalen Thompson and Marco Wilson),0.61,1.01,2.0,2022,28
1,14:22,2.0,3.0,LVR 32,0.0,0.0,Derek Carr sacked by J.J. Watt for -8 yards,1.01,-0.76,2.0,2022,28
1,13:40,3.0,11.0,LVR 24,0.0,0.0,Derek Carr pass complete deep middle to Mack Hollins for 20 yards (tackle by Jace Whittaker),-0.76,1.86,2.0,2022,28
1,13:02,1.0,10.0,LVR 44,0.0,0.0,Josh Jacobs up the middle for 6 yards (tackle by Jalen Thompson and Zach Allen),1.86,2.13,2.0,2022,28
1,12:27,2.0,4.0,LVR 50,0.0,0.0,Josh Jacobs left guard for 3 yards (tackle by Zaven Collins),2.13,1.82,2.0,2022,28
1,11:58,3.0,1.0,ARI 47,0.0,0.0,Josh Jacobs up the middle for 2 yards (tackle by Budda Baker),1.82,2.59,2.0,2022,28
1,11:17,1.0,10.0,ARI 45,0.0,0.0,"Penalty on Michael Dogbe: Neutral Zone Infraction, 5 yards (accepted) (no play)",2.59,3.32,2.0,2022,28
1,10:58,1.0,5.0,ARI 40,0.0,0.0,Josh Jacobs left tackle for no gain (tackle by Rashard Lawrence and Dennis Gardeck),3.32,2.72,2.0,2022,28
1,10:21,2.0,5.0,ARI 40,0.0,0.0,Josh Jacobs right tackle for 13 yards (tackle by Nick Vigil and Marco Wilson),2.72,3.78,2.0,2022,28
1,9:44,1.0,10.0,ARI 27,0.0,0.0,Josh Jacobs for no gain (no play),3.78,3.45,2.0,2022,28
1,9:11,1.0,15.0,ARI 32,0.0,0.0,Derek Carr pass complete short right to Foster Moreau for -6 yards (tackle by Nick Vigil),3.45,1.75,2.0,2022,28
1,8:25,2.0,21.0,ARI 38,0.0,0.0,Derek Carr pass complete short right to Mack Hollins for 9 yards (tackle by Jace Whittaker),1.75,2.28,2.0,2022,28
1,7:49,3.0,12.0,ARI 29,0.0,0.0,Derek Carr pass complete deep middle to Mack Hollins for 23 yards (tackle by Budda Baker),2.28,5.83,2.0,2022,28
1,7:06,1.0,6.0,ARI 6,0.0,0.0,Josh Jacobs up the middle for 2 yards (tackle by Jalen Thompson and Leki Fotu),5.83,5.34,2.0,2022,28
1,6:25,2.0,4.0,ARI 4,0.0,0.0,Derek Carr pass incomplete short left intended for Mack Hollins,5.34,4.49,2.0,2022,28
1,6:15,3.0,4.0,ARI 4,0.0,0.0,"Derek Carr pass incomplete short left intended for Darren Waller. Penalty on Jalen Thompson: Defensive Pass Interference, 3 yards (accepted) (no play)",4.49,6.97,2.0,2022,28
1,6:11,1.0,1.0,ARI 1,0.0,0.0,Josh Jacobs up the middle for no gain (tackle by Jalen Thompson),6.97,5.91,2.0,2022,28
1,5:25,2.0,1.0,ARI 1,0.0,6.0,"Derek Carr pass complete short left to Davante Adams for 1 yard, touchdown",5.91,7.0,2.0,2022,28
1,5:22,,,ARI 15,0.0,7.0,Daniel Carlson kicks extra point good,0.0,0.0,2.0,2022,28
1,5:22,,,LVR 35,0.0,7.0,"Daniel Carlson kicks off 65 yards, touchback.",0.0,0.61,2.0,2022,28
1,5:22,1.0,10.0,ARI 25,0.0,7.0,Kyler Murray pass complete short left to Marquise Brown for 6 yards (tackle by Nate Hobbs),0.61,0.87,2.0,2022,28
1,4:47,2.0,4.0,ARI 31,0.0,7.0,James Conner up the middle for 3 yards (tackle by Maxx Crosby and Divine Deablo),0.87,0.56,2.0,2022,28
1,4:05,3.0,1.0,ARI 34,0.0,7.0,James Conner left guard for 4 yards (tackle by Chandler Jones and Divine Deablo),0.56,1.47,2.0,2022,28
1,3:23,1.0,10.0,ARI 38,0.0,7.0,Eno Benjamin up the middle for 3 yards (tackle by Andrew Billings and Jayon Brown),1.47,1.33,2.0,2022,28
1,2:49,2.0,7.0,ARI 41,0.0,7.0,Kyler Murray sacked by Maxx Crosby for -7 yards,1.33,-0.29,2.0,2022,28
1,2:05,,,,,,Timeout #1 by Arizona Cardinals,,,2.0,2022,28
1,2:05,3.0,14.0,ARI 34,0.0,7.0,Kyler Murray pass complete short left to Marquise Brown for 10 yards (tackle by Divine Deablo),-0.29,-0.46,2.0,2022,28
1,1:29,4.0,4.0,ARI 44,0.0,7.0,"Andy Lee punts 56 yards, touchback.",-0.46,-0.28,2.0,2022,28
1,1:21,1.0,10.0,LVR 20,0.0,7.0,"Penalty on J.J. Watt: Neutral Zone Infraction, 5 yards (accepted) (no play)",0.28,1.01,2.0,2022,28
1,1:21,1.0,5.0,LVR 25,0.0,7.0,"Derek Carr pass complete deep left to Darren Waller for 19 yards (tackle by Jalen Thompson). Penalty on Marco Wilson: Illegal Contact, 5 yards (declined)",1.01,1.86,2.0,2022,28
1,0:55,1.0,10.0,LVR 44,0.0,7.0,Josh Jacobs left guard for 4 yards (tackle by Budda Baker and Dennis Gardeck),1.86,1.86,2.0,2022,28
1,0:11,2.0,6.0,LVR 48,0.0,7.0,Derek Carr pass complete short left to Foster Moreau for 19 yards (tackle by Nick Vigil),1.86,3.38,2.0,2022,28
2,15:00,1.0,10.0,ARI 33,0.0,7.0,"Penalty on Kolton Miller: False Start, 5 yards (accepted) (no play)",3.38,3.05,2.0,2022,28
2,15:00,1.0,15.0,ARI 38,0.0,7.0,Derek Carr pass complete short left to Josh Jacobs for 12 yards (tackle by Tanner Vallejo),3.05,3.78,2.0,2022,28
2,14:18,2.0,3.0,ARI 26,0.0,7.0,Derek Carr pass complete short left to Mack Hollins for 7 yards (tackle by Marco Wilson and Jace Whittaker),3.78,4.31,2.0,2022,28
2,13:28,1.0,10.0,ARI 19,0.0,7.0,"Zamir White left tackle for no gain (tackle by Budda Baker and Nick Vigil). Penalty on Dylan Parham: Offensive Holding, 10 yards (accepted) (no play)",4.31,3.64,2.0,2022,28
2,13:06,1.0,20.0,ARI 29,0.0,7.0,Derek Carr pass complete short left to Hunter Renfrow for 8 yards (tackle by Victor Dimukeje),3.64,3.49,2.0,2022,28
2,12:28,2.0,12.0,ARI 21,0.0,7.0,Derek Carr pass complete short right to Mack Hollins for 7 yards (tackle by Byron Murphy),3.49,3.76,2.0,2022,28
2,11:52,3.0,5.0,ARI 14,0.0,7.0,Derek Carr pass incomplete short right intended for Davante Adams,3.76,2.56,2.0,2022,28
2,11:45,4.0,5.0,ARI 14,0.0,10.0,Daniel Carlson 32 yard field goal good,2.56,3.0,2.0,2022,28
2,11:40,,,LVR 35,0.0,10.0,"Daniel Carlson kicks off 62 yards, returned by Eno Benjamin for 22 yards (tackle by Matthias Farley and Sam Webb)",0.0,0.61,2.0,2022,28
2,11:32,1.0,10.0,ARI 25,0.0,10.0,James Conner right guard for 5 yards (tackle by Divine Deablo and Johnathan Hankins),0.61,0.74,2.0,2022,28
2,11:04,2.0,5.0,ARI 30,0.0,10.0,Kyler Murray pass complete short middle to Zach Ertz for 5 yards (tackle by Jayon Brown),0.74,1.27,2.0,2022,28
2,10:20,1.0,10.0,ARI 35,0.0,10.0,James Conner up the middle for 4 yards (tackle by Johnathan Abram),1.27,1.26,2.0,2022,28
2,9:35,2.0,6.0,ARI 39,0.0,10.0,"Kyler Murray pass incomplete short right. Penalty on Kyler Murray: Intentional Grounding, 15 yards (accepted)",1.26,-1.42,2.0,2022,28
2,9:28,3.0,21.0,ARI 24,0.0,10.0,Kyler Murray pass complete short right to James Conner for 5 yards (tackle by Amik Robertson),-1.42,-1.44,2.0,2022,28
2,9:08,4.0,16.0,ARI 29,0.0,10.0,Andy Lee punts 30 yards out of bounds,-1.44,-1.66,2.0,2022,28
