Unnamed: 0,MIN,PHI,week,year,game_id
First Downs,20,25,2.0,2022,32
Rush-Yds-TDs,11-62-0,34-163-2,2.0,2022,32
Cmp-Att-Yd-TD-INT,27-46-221-1-3,26-31-333-1-1,2.0,2022,32
Sacked-Yards,2-19,3-10,2.0,2022,32
Net Pass Yards,202,323,2.0,2022,32
Total Yards,264,486,2.0,2022,32
Fumbles-Lost,1-0,1-0,2.0,2022,32
Turnovers,3,1,2.0,2022,32
Penalties-Yards,5-25,8-60,2.0,2022,32
Third Down Conv.,4-12,7-13,2.0,2022,32
Fourth Down Conv.,0-0,0-0,2.0,2022,32
Time of Possession,23:46,36:14,2.0,2022,32
