Quarter,Time,Down,ToGo,Location,MIA,BAL,Detail,EPB,EPA,week,year,game_id
,,,,,,,"Dolphins won the coin toss and deferred, Ravens to receive the opening kickoff.",,,2.0,2022,22
1.0,15:00,,,MIA 35,0.0,6.0,"Jason Sanders kicks off 68 yards, returned by Devin Duvernay for 103 yards, touchdown",0.0,7.0,2.0,2022,22
1.0,14:47,,,MIA 15,0.0,7.0,Justin Tucker kicks extra point good,0.0,0.0,2.0,2022,22
1.0,14:47,,,BAL 35,0.0,7.0,"Justin Tucker kicks off 65 yards, touchback.",0.0,0.61,2.0,2022,22
1.0,14:47,1.0,10.0,MIA 25,0.0,7.0,Raheem Mostert right end for 7 yards (tackle by Patrick Queen and Marcus Peters),0.61,1.01,2.0,2022,22
1.0,14:16,2.0,3.0,MIA 32,0.0,7.0,Tua Tagovailoa pass complete short left to Jaylen Waddle for 6 yards (tackle by Josh Bynes),1.01,1.47,2.0,2022,22
1.0,13:33,1.0,10.0,MIA 38,0.0,7.0,Tua Tagovailoa pass complete short middle to Jaylen Waddle for 14 yards (tackle by Marcus Williams),1.47,2.39,2.0,2022,22
1.0,12:55,1.0,10.0,BAL 48,0.0,7.0,Raheem Mostert left end for 3 yards (tackle by Marcus Williams and Marlon Humphrey),2.39,2.25,2.0,2022,22
1.0,12:14,2.0,7.0,BAL 45,0.0,7.0,Tua Tagovailoa pass incomplete short left intended for Jaylen Waddle,2.25,1.55,2.0,2022,22
1.0,12:10,3.0,7.0,BAL 45,0.0,7.0,Tua Tagovailoa pass complete short middle to Mike Gesicki for 12 yards (tackle by Marcus Williams),1.55,3.38,2.0,2022,22
1.0,11:26,,,,,,Timeout #1 by Miami Dolphins,,,2.0,2022,22
1.0,11:26,1.0,10.0,BAL 33,0.0,7.0,Raheem Mostert left end for 4 yards (tackle by Marlon Humphrey and Justin Houston),3.38,3.38,2.0,2022,22
1.0,10:42,2.0,6.0,BAL 29,0.0,7.0,Tua Tagovailoa pass short left intended for Tyreek Hill is intercepted by Marcus Williams at BAL-20 and returned for no gain (tackle by Tyreek Hill),3.38,-0.28,2.0,2022,22
1.0,10:35,1.0,10.0,BAL 20,0.0,7.0,Kenyan Drake right guard for 3 yards (tackle by Duke Riley),0.28,0.14,2.0,2022,22
1.0,10:13,2.0,7.0,BAL 23,0.0,7.0,Lamar Jackson pass incomplete short right intended for Mark Andrews,0.14,-0.56,2.0,2022,22
1.0,10:08,3.0,7.0,BAL 23,0.0,7.0,Lamar Jackson pass complete short left to Rashod Bateman for 17 yards (tackle by Nik Needham),-0.56,1.6,2.0,2022,22
1.0,9:21,1.0,10.0,BAL 40,0.0,7.0,Kenyan Drake right end for 6 yards (tackle by Raekwon Davis and Nik Needham),1.6,1.86,2.0,2022,22
1.0,8:42,2.0,4.0,BAL 46,0.0,7.0,Mike Davis left guard for 3 yards (tackle by Christian Wilkins and Zach Sieler),1.86,1.55,2.0,2022,22
1.0,7:58,3.0,1.0,BAL 49,0.0,7.0,Patrick Ricard left guard for 5 yards (tackle by Duke Riley),1.55,2.52,2.0,2022,22
1.0,7:16,1.0,10.0,MIA 46,0.0,7.0,Lamar Jackson pass complete short middle to Rashod Bateman for 9 yards (tackle by Elandon Roberts and Xavien Howard),2.52,3.19,2.0,2022,22
1.0,6:41,2.0,1.0,MIA 37,0.0,7.0,Mike Davis up the middle for no gain (tackle by Christian Wilkins),3.19,2.48,2.0,2022,22
1.0,6:00,3.0,1.0,MIA 37,0.0,7.0,Mike Davis right guard for no gain (tackle by Samuel Eguavoen and Elandon Roberts),2.48,0.79,2.0,2022,22
1.0,5:16,4.0,1.0,MIA 37,0.0,7.0,Mark Andrews up the middle for 3 yards (tackle by Christian Wilkins),0.79,3.31,2.0,2022,22
1.0,4:26,1.0,10.0,MIA 34,0.0,7.0,"Penalty on BAL: Delay of Game, 5 yards (accepted) (no play)",3.31,2.98,2.0,2022,22
1.0,4:08,1.0,15.0,MIA 39,0.0,7.0,Lamar Jackson pass complete short left to Isaiah Likely for 4 yards (tackle by Brandon Jones),2.98,2.64,2.0,2022,22
