Quarter,Time,Down,ToGo,Location,IND,JAX,Detail,EPB,EPA,week,year,game_id
,,,,,,,"Colts won the coin toss, Colts to receive the opening kickoff.",,,2.0,2022,20
1.0,15:00,,,JAX 35,0.0,0.0,"Riley Patterson kicks off 65 yards, touchback.",0.0,0.61,2.0,2022,20
1.0,15:00,1.0,10.0,IND 25,0.0,0.0,Matt Ryan pass complete short middle to Nyheim Hines for 19 yards (tackle by Andre Cisco),0.61,1.86,2.0,2022,20
1.0,14:23,1.0,10.0,IND 44,0.0,0.0,Jonathan Taylor up the middle for 2 yards (tackle by Roy Robertson-Harris),1.86,1.59,2.0,2022,20
1.0,13:48,2.0,8.0,IND 46,0.0,0.0,Matt Ryan pass complete short right to Nyheim Hines for 4 yards (tackle by Foyesade Oluokun),1.59,1.42,2.0,2022,20
1.0,13:05,3.0,4.0,IND 50,0.0,0.0,Matt Ryan pass complete short middle to Ashton Dulin for 10 yards (tackle by Shaquill Griffin and Andre Cisco),1.42,2.92,2.0,2022,20
1.0,12:26,1.0,10.0,JAX 40,0.0,0.0,Matt Ryan pass incomplete short left intended for Nyheim Hines (defended by Devin Lloyd),2.92,2.37,2.0,2022,20
1.0,12:20,2.0,10.0,JAX 40,0.0,0.0,Jonathan Taylor up the middle for no gain (tackle by Josh Allen and Devin Lloyd),2.37,1.68,2.0,2022,20
1.0,11:41,3.0,10.0,JAX 40,0.0,0.0,Matt Ryan pass deep right intended for Ashton Dulin is intercepted by Rayshawn Jenkins at JAC-22 and returned for 10 yards (tackle by Kylen Granson),1.68,-1.07,2.0,2022,20
1.0,11:32,1.0,10.0,JAX 32,0.0,0.0,James Robinson up the middle for 3 yards (tackle by Nick Cross),1.07,0.93,2.0,2022,20
1.0,11:00,2.0,7.0,JAX 35,0.0,0.0,Travis Etienne left end for -1 yards (tackle by Bobby Okereke),0.93,0.1,2.0,2022,20
1.0,10:19,3.0,8.0,JAX 34,0.0,0.0,"Trevor Lawrence pass complete short left to Marvin Jones for 12 yards (tackle by Brandon Facyson). Penalty on Julian Blackmon: Illegal Use of Hands / Defense, 5 yards (declined)",0.1,1.99,2.0,2022,20
1.0,10:04,1.0,10.0,JAX 46,0.0,0.0,Trevor Lawrence pass complete short middle to Evan Engram for 5 yards (tackle by Zaire Franklin),1.99,2.13,2.0,2022,20
1.0,9:27,2.0,5.0,IND 49,0.0,0.0,James Robinson left end for no gain (tackle by Grover Stewart),2.13,1.42,2.0,2022,20
1.0,8:48,3.0,5.0,IND 49,0.0,0.0,Trevor Lawrence pass complete short right to Evan Engram for 2 yards (tackle by Brandon Facyson),1.42,0.13,2.0,2022,20
1.0,8:05,4.0,3.0,IND 47,0.0,0.0,Trevor Lawrence pass complete short right to Zay Jones for 8 yards (tackle by Kenny Moore),0.13,2.98,2.0,2022,20
