Unnamed: 0,MIA,BAL,week,year,game_id
First Downs,27,23,2.0,2022,22
Rush-Yds-TDs,18-86-0,25-155-1,2.0,2022,22
Cmp-Att-Yd-TD-INT,36-50-469-6-2,21-29-318-3-0,2.0,2022,22
Sacked-Yards,1-8,0-0,2.0,2022,22
Net Pass Yards,461,318,2.0,2022,22
Total Yards,547,473,2.0,2022,22
Fumbles-Lost,0-0,1-0,2.0,2022,22
Turnovers,2,0,2.0,2022,22
Penalties-Yards,8-51,1-5,2.0,2022,22
Third Down Conv.,7-11,3-10,2.0,2022,22
Fourth Down Conv.,2-2,1-3,2.0,2022,22
Time of Possession,34:47,25:13,2.0,2022,22
