Quarter,Time,Tm,Detail,CIN,DAL,week,year,game_id
1.0,8:35,Cowboys,Noah Brown 9 yard pass from Cooper Rush (Brett Maher kick),0,7,2.0,2022,27
,3:05,Bengals,Evan McPherson 43 yard field goal,3,7,2.0,2022,27
,0:17,Cowboys,Tony Pollard 1 yard rush (Brett Maher kick),3,14,2.0,2022,27
2.0,0:09,Cowboys,Brett Maher 54 yard field goal,3,17,2.0,2022,27
3.0,9:41,Bengals,Evan McPherson 50 yard field goal,6,17,2.0,2022,27
,4:05,Bengals,Evan McPherson 46 yard field goal,9,17,2.0,2022,27
4.0,3:45,Bengals,Tee Higgins 5 yard pass from Joe Burrow (Tyler Boyd pass from Joe Burrow),17,17,2.0,2022,27
,0:00,Cowboys,Brett Maher 50 yard field goal,17,20,2.0,2022,27
