Rk,Tm,G,Att,Yds,TD,Lng,Y/A,Y/G,Fmb,EXP,year,week
1.0,Baltimore Ravens,17.0,541.0,2661.0,26.0,60.0,4.9,156.5,23.0,61.67,2023,18
2.0,Chicago Bears,17.0,534.0,2399.0,16.0,39.0,4.5,141.1,24.0,32.23,2023,18
3.0,San Francisco 49ers,17.0,499.0,2389.0,27.0,72.0,4.8,140.5,16.0,52.83,2023,18
4.0,Arizona Cardinals,17.0,471.0,2365.0,17.0,49.0,5.0,139.1,21.0,45.18,2023,18
5.0,Detroit Lions,17.0,500.0,2311.0,27.0,75.0,4.6,135.9,18.0,27.22,2023,18
6.0,Miami Dolphins,17.0,456.0,2308.0,27.0,76.0,5.1,135.8,24.0,8.35,2023,18
7.0,Buffalo Bills,17.0,512.0,2212.0,22.0,42.0,4.3,130.1,20.0,68.28,2023,18
8.0,Philadelphia Eagles,17.0,510.0,2190.0,22.0,43.0,4.3,128.8,22.0,32.05,2023,18
9.0,Atlanta Falcons,17.0,522.0,2159.0,14.0,38.0,4.1,127.0,24.0,-36.48,2023,18
10.0,Indianapolis Colts,17.0,479.0,2059.0,19.0,56.0,4.3,121.1,21.0,-6.31,2023,18
11.0,Los Angeles Rams,17.0,477.0,2045.0,18.0,56.0,4.3,120.3,11.0,20.42,2023,18
12.0,Cleveland Browns,17.0,518.0,2017.0,15.0,69.0,3.9,118.6,27.0,-28.94,2023,18
13.0,Pittsburgh Steelers,17.0,487.0,2010.0,16.0,74.0,4.1,118.2,21.0,-1.9,2023,18
14.0,Dallas Cowboys,17.0,468.0,1920.0,14.0,46.0,4.1,112.9,13.0,14.42,2023,18
15.0,Green Bay Packers,17.0,441.0,1905.0,10.0,40.0,4.3,112.1,23.0,-8.99,2023,18
16.0,New York Giants,17.0,454.0,1874.0,10.0,36.0,4.1,110.2,24.0,-45.15,2023,18
17.0,Tennessee Titans,17.0,444.0,1846.0,16.0,69.0,4.2,108.6,19.0,-11.1,2023,18
18.0,Denver Broncos,17.0,451.0,1810.0,8.0,38.0,4.0,106.5,21.0,-0.05,2023,18
19.0,Kansas City Chiefs,17.0,417.0,1784.0,9.0,48.0,4.3,104.9,20.0,-4.58,2023,18
20.0,Carolina Panthers,17.0,445.0,1769.0,7.0,48.0,4.0,104.1,24.0,-17.4,2023,18
21.0,New Orleans Saints,17.0,480.0,1742.0,13.0,29.0,3.6,102.5,13.0,-26.28,2023,18
22.0,New York Jets,17.0,388.0,1647.0,7.0,83.0,4.2,96.9,32.0,-46.03,2023,18
23.0,Houston Texans,17.0,444.0,1647.0,10.0,24.0,3.7,96.9,17.0,-45.9,2023,18
24.0,Jacksonville Jaguars,17.0,453.0,1646.0,17.0,62.0,3.6,96.8,28.0,-47.39,2023,18
25.0,Los Angeles Chargers,17.0,431.0,1642.0,11.0,55.0,3.8,96.6,25.0,-42.46,2023,18
26.0,New England Patriots,17.0,415.0,1627.0,9.0,64.0,3.9,95.7,19.0,-23.64,2023,18
27.0,Washington Commanders,17.0,359.0,1592.0,14.0,29.0,4.4,93.6,20.0,6.89,2023,18
28.0,Seattle Seahawks,17.0,382.0,1580.0,11.0,45.0,4.1,92.9,8.0,-10.43,2023,18
29.0,Minnesota Vikings,17.0,393.0,1553.0,7.0,31.0,4.0,91.4,26.0,-16.84,2023,18
30.0,Las Vegas Raiders,17.0,413.0,1542.0,11.0,63.0,3.7,90.7,14.0,-39.32,2023,18
31.0,Cincinnati Bengals,17.0,383.0,1527.0,12.0,44.0,4.0,89.8,10.0,-5.5,2023,18
32.0,Tampa Bay Buccaneers,17.0,439.0,1509.0,8.0,38.0,3.4,88.8,21.0,-41.34,2023,18
,Avg Team,,456.4,1915.2,14.7,51.0,4.2,112.7,20.3,-4.3,2023,18
,League Total,,14606.0,61287.0,470.0,83.0,4.2,112.7,649.0,,2023,18
,Avg Tm/G,,26.8,112.7,0.9,,4.2,112.7,1.2,,2023,18
