Rk,Player,Age,Team,Pos,G,GS,Receiving Tgt,Receiving Rec,Receiving Yds,Receiving 1D,Receiving YBC,Receiving YBC/R,Receiving YAC,Receiving YAC/R,Receiving ADOT,Receiving BrkTkl,Receiving Rec/Br,Receiving Drop,Receiving Drop%,Receiving Int,Receiving Rat,Awards
273.0,Jack Stoll,24.0,PHI,TE,17.0,11.0,14.0,11.0,123.0,5.0,74.0,6.7,49.0,4.5,6.4,0.0,,0.0,0.0,0.0,103.3,
274.0,Shane Zylstra,26.0,DET,TE,13.0,2.0,15.0,11.0,60.0,6.0,47.0,4.3,13.0,1.2,5.2,0.0,,0.0,0.0,0.0,119.4,
275.0,James Robinson,24.0,2TM,RB,11.0,5.0,14.0,11.0,51.0,5.0,-6.0,-0.5,57.0,5.2,0.5,0.0,,0.0,0.0,0.0,121.4,
275.0,James Robinson,24.0,JAX,RB,7.0,5.0,11.0,9.0,46.0,4.0,3.0,0.3,43.0,4.8,1.4,0.0,,0.0,0.0,0.0,114.4,
275.0,James Robinson,24.0,NYJ,RB,4.0,0.0,3.0,2.0,5.0,1.0,-9.0,-4.5,14.0,7.0,-2.7,0.0,,0.0,0.0,0.0,109.7,
276.0,Zack Moss,25.0,2TM,RB,13.0,3.0,13.0,11.0,39.0,2.0,-3.0,-0.3,42.0,3.8,-0.4,2.0,5.5,1.0,7.7,0.0,79.2,
276.0,Zack Moss,25.0,BUF,RB,5.0,0.0,8.0,7.0,27.0,1.0,-2.0,-0.3,29.0,4.1,-0.6,1.0,7.0,0.0,0.0,0.0,80.7,
276.0,Zack Moss,25.0,IND,RB,8.0,3.0,5.0,4.0,12.0,1.0,-1.0,-0.3,13.0,3.3,0.0,1.0,4.0,1.0,20.0,0.0,79.2,
277.0,Michael Bandy,25.0,LAC,WR,10.0,2.0,21.0,10.0,89.0,5.0,64.0,6.4,25.0,2.5,8.2,0.0,,1.0,4.8,0.0,59.4,
278.0,Raheem Blackshear,23.0,CAR,RB,13.0,1.0,12.0,10.0,93.0,3.0,-12.0,-1.2,105.0,10.5,-1.8,1.0,10.0,1.0,8.3,1.0,64.2,
279.0,Keelan Cole,29.0,LVR,WR,14.0,3.0,21.0,10.0,141.0,8.0,121.0,12.1,20.0,2.0,16.0,0.0,,2.0,9.5,0.0,85.6,
280.0,C.J. Ham,29.0,MIN,FB,17.0,4.0,12.0,10.0,86.0,7.0,30.0,3.0,56.0,5.6,5.2,1.0,10.0,1.0,8.3,0.0,96.5,
281.0,O.J. Howard,28.0,HOU,TE,13.0,10.0,23.0,10.0,145.0,6.0,85.0,8.5,60.0,6.0,10.8,1.0,10.0,0.0,0.0,1.0,75.5,
282.0,Tanner Hudson,28.0,NYG,TE,11.0,0.0,15.0,10.0,132.0,8.0,73.0,7.3,59.0,5.9,7.3,0.0,,1.0,6.7,0.0,94.3,
283.0,Tre' McKitty,23.0,LAC,TE,17.0,8.0,18.0,10.0,72.0,0.0,20.0,2.0,52.0,5.2,3.2,0.0,,2.0,11.1,0.0,65.0,
284.0,Albert Okwuegbunam,24.0,DEN,TE,8.0,1.0,18.0,10.0,95.0,4.0,36.0,3.6,59.0,5.9,5.5,1.0,10.0,2.0,11.1,0.0,88.9,
285.0,Donald Parham,25.0,LAC,TE,6.0,1.0,12.0,10.0,130.0,5.0,88.0,8.8,42.0,4.2,10.3,0.0,,0.0,0.0,0.0,139.6,
286.0,Byron Pringle,29.0,CHI,WR,11.0,4.0,16.0,10.0,135.0,8.0,121.0,12.1,14.0,1.4,14.7,0.0,,0.0,0.0,1.0,102.9,
287.0,Khalil Shakir,22.0,BUF,WR,14.0,2.0,20.0,10.0,161.0,7.0,78.0,7.8,83.0,8.3,9.8,1.0,10.0,2.0,10.0,0.0,94.0,
288.0,Dan Arnold,27.0,JAX,TE,17.0,0.0,13.0,9.0,135.0,5.0,60.0,6.7,75.0,8.3,6.3,0.0,,1.0,7.7,0.0,103.0,
289.0,Brandon Bolden,32.0,LVR,RB,16.0,0.0,9.0,9.0,57.0,2.0,30.0,3.3,27.0,3.0,3.3,1.0,9.0,0.0,0.0,0.0,130.1,
290.0,Mike Boone,27.0,DEN,RB,9.0,0.0,15.0,9.0,96.0,2.0,15.0,1.7,81.0,9.0,3.0,0.0,,2.0,13.3,0.0,78.7,
291.0,River Cracraft,28.0,MIA,WR,11.0,0.0,14.0,9.0,102.0,8.0,76.0,8.4,26.0,2.9,8.7,0.0,,0.0,0.0,1.0,95.8,
292.0,Anthony Firkser,27.0,ATL,FB,11.0,1.0,13.0,9.0,100.0,5.0,80.0,8.9,20.0,2.2,7.5,0.0,,0.0,0.0,0.0,91.8,
293.0,Jody Fortson,27.0,KAN,TE,13.0,1.0,13.0,9.0,108.0,6.0,68.0,7.6,40.0,4.4,6.8,0.0,,0.0,0.0,0.0,134.0,
294.0,Khalil Herbert,24.0,CHI,RB,13.0,1.0,12.0,9.0,57.0,2.0,-24.0,-2.7,81.0,9.0,-2.4,0.0,,1.0,8.3,0.0,112.2,
295.0,Parker Hesse,27.0,ATL,TE,17.0,7.0,11.0,9.0,89.0,6.0,53.0,5.9,36.0,4.0,5.9,0.0,,0.0,0.0,0.0,100.4,
296.0,Taysom Hill,32.0,NOR,TE/QB,16.0,8.0,13.0,9.0,77.0,5.0,40.0,4.4,37.0,4.1,5.8,0.0,,1.0,7.7,0.0,124.0,
297.0,DeSean Jackson,36.0,BAL,WR,7.0,1.0,17.0,9.0,153.0,5.0,130.0,14.4,23.0,2.6,15.1,1.0,9.0,0.0,0.0,1.0,59.2,
298.0,Marcus Johnson,28.0,NYG,WR,14.0,7.0,22.0,9.0,99.0,6.0,63.0,7.0,36.0,4.0,10.6,0.0,,1.0,4.5,0.0,54.9,
