Rk,Player,Age,Team,Pos,G,GS,Pass Coverage Int,Pass Coverage Tgt,Pass Coverage Cmp,Pass Coverage Cmp%,Pass Coverage Yds,Pass Coverage Yds/Cmp,Pass Coverage Yds/Tgt,Pass Coverage TD,Pass Coverage Rat,Pass Coverage DADOT,Pass Coverage Air,Pass Coverage YAC,Pass Rush Bltz,Pass Rush Hrry,Pass Rush QBKD,Pass Rush Bats,Pass Rush Sk,Pass Rush Prss,Tackles Comb,Tackles MTkl,Tackles MTkl%,Awards
1.0,Bobby Wagner,33.0,SEA,LB,17.0,16.0,0.0,61.0,49.0,80.3,546.0,11.1,9.0,2.0,114.9,5.1,239.0,307.0,44.0,1.0,2.0,0.0,3.5,7.0,183.0,8.0,4.2,"PB,AP-2"
2.0,Zaire Franklin,27.0,IND,LB,16.0,16.0,0.0,84.0,65.0,77.4,663.0,10.2,7.9,1.0,103.4,4.6,225.0,438.0,23.0,0.0,1.0,1.0,1.5,3.0,179.0,15.0,7.7,
3.0,Alex Singleton,30.0,DEN,LB,17.0,16.0,0.0,85.0,68.0,80.0,573.0,8.4,6.7,2.0,102.6,2.3,138.0,435.0,52.0,1.0,3.0,1.0,2.0,6.0,177.0,15.0,7.8,
4.0,Foyesade Oluokun,28.0,JAX,LB,17.0,17.0,1.0,82.0,61.0,74.4,499.0,8.2,6.1,1.0,88.4,2.2,94.0,405.0,49.0,5.0,6.0,1.0,2.5,14.0,173.0,22.0,11.3,
5.0,Azeez Al-Shaair,26.0,TEN,LILB,17.0,17.0,0.0,49.0,34.0,69.4,281.0,8.3,5.7,2.0,97.4,5.1,103.0,178.0,42.0,1.0,4.0,1.0,2.0,7.0,163.0,13.0,7.4,
6.0,Roquan Smith,26.0,BAL,LB,16.0,16.0,1.0,82.0,63.0,76.8,676.0,10.7,8.2,2.0,103.5,5.2,304.0,372.0,42.0,1.0,4.0,1.0,1.5,7.0,158.0,8.0,4.8,"PB,AP-1,AP DPoY-8"
7.0,T.J. Edwards,27.0,CHI,LB,17.0,17.0,3.0,87.0,72.0,82.8,644.0,8.9,7.4,2.0,90.8,2.7,162.0,482.0,68.0,2.0,6.0,0.0,2.5,11.0,155.0,13.0,7.7,
8.0,C.J. Mosley,31.0,NYJ,LB,17.0,17.0,1.0,65.0,48.0,73.8,508.0,10.6,7.8,1.0,94.9,3.1,122.0,386.0,29.0,0.0,1.0,1.0,0.5,2.0,152.0,13.0,7.9,
9.0,Bobby Okereke,27.0,NYG,LB,17.0,17.0,2.0,42.0,34.0,81.0,302.0,8.9,7.2,2.0,92.7,1.1,15.0,287.0,69.0,2.0,4.0,1.0,2.5,9.0,149.0,12.0,7.5,
10.0,Robert Spillane,28.0,LVR,LB,17.0,17.0,3.0,55.0,40.0,72.7,410.0,10.3,7.5,2.0,83.1,3.3,112.0,298.0,36.0,1.0,3.0,0.0,3.5,8.0,148.0,12.0,7.5,
11.0,Ernest Jones,24.0,LAR,LB,15.0,15.0,0.0,48.0,34.0,70.8,294.0,8.6,6.1,1.0,93.6,1.7,49.0,245.0,58.0,7.0,2.0,1.0,4.5,14.0,145.0,2.0,1.4,
12.0,Terrel Bernard,24.0,BUF,LB,17.0,17.0,3.0,56.0,40.0,71.4,388.0,9.7,6.9,2.0,80.1,5.0,159.0,229.0,50.0,5.0,2.0,1.0,6.5,14.0,143.0,15.0,9.5,
13.0,Quincy Williams,27.0,NYJ,LB,17.0,16.0,1.0,88.0,63.0,71.6,450.0,7.1,5.1,4.0,93.5,2.2,72.0,378.0,29.0,1.0,2.0,1.0,2.0,5.0,139.0,13.0,8.6,AP-1
14.0,Camryn Bynum,25.0,MIN,S,17.0,17.0,2.0,92.0,70.0,76.1,698.0,10.0,7.6,3.0,98.9,8.0,386.0,312.0,5.0,0.0,0.0,0.0,0.5,1.0,137.0,13.0,8.7,
15.0,Logan Wilson,27.0,CIN,LB,17.0,17.0,4.0,73.0,55.0,75.3,576.0,10.5,7.9,4.0,93.2,5.1,247.0,329.0,38.0,0.0,2.0,0.0,1.0,4.0,135.0,7.0,4.9,
16.0,Lavonte David,33.0,TAM,LB,15.0,15.0,0.0,85.0,67.0,78.8,569.0,8.5,6.7,2.0,102.4,4.6,224.0,345.0,51.0,4.0,0.0,0.0,4.5,9.0,134.0,9.0,6.3,
17.0,Patrick Queen,24.0,BAL,LB,17.0,17.0,1.0,67.0,52.0,77.6,388.0,7.5,5.8,2.0,94.5,3.2,102.0,286.0,63.0,4.0,2.0,0.0,3.5,10.0,133.0,14.0,9.5,"PB,AP-2"
18.0,Jessie Bates III,26.0,ATL,S,17.0,17.0,6.0,51.0,33.0,64.7,380.0,11.5,7.5,3.0,67.1,12.4,264.0,116.0,13.0,1.0,1.0,0.0,0.0,2.0,132.0,11.0,7.7,"PB,AP-2"
19.0,Fred Warner,27.0,SFO,LB,17.0,17.0,4.0,76.0,56.0,73.7,560.0,10.0,7.4,1.0,76.6,4.9,203.0,357.0,43.0,1.0,4.0,3.0,2.5,8.0,132.0,14.0,9.6,"PB,AP-1,AP DPoY-6"
20.0,Alex Anzalone,29.0,DET,LB,16.0,16.0,0.0,80.0,56.0,70.0,546.0,9.8,6.8,2.0,97.2,3.7,158.0,388.0,75.0,5.0,9.0,1.0,3.0,17.0,129.0,22.0,14.6,
21.0,Devin Lloyd,25.0,JAX,LB,15.0,15.0,0.0,72.0,50.0,69.4,441.0,8.8,6.1,2.0,94.7,4.5,164.0,277.0,34.0,1.0,1.0,0.0,0.0,2.0,127.0,12.0,8.6,
22.0,Derwin James,27.0,LAC,S,16.0,16.0,1.0,64.0,44.0,68.8,468.0,10.6,7.3,2.0,93.7,7.9,250.0,218.0,36.0,3.0,2.0,1.0,2.0,7.0,125.0,12.0,8.8,
23.0,Frankie Luvu,27.0,CAR,LILB,17.0,17.0,0.0,56.0,34.0,60.7,326.0,9.6,5.8,3.0,94.8,2.8,100.0,226.0,46.0,2.0,5.0,1.0,5.5,13.0,125.0,18.0,12.6,
24.0,Julian Love,25.0,SEA,S,17.0,12.0,4.0,69.0,44.0,63.8,606.0,13.8,8.8,3.0,82.2,10.1,398.0,208.0,4.0,1.0,1.0,0.0,0.0,2.0,123.0,10.0,7.5,PB
25.0,Kaden Elliss,28.0,ATL,LB,17.0,17.0,0.0,54.0,39.0,72.2,281.0,7.2,5.2,1.0,90.1,3.7,77.0,204.0,39.0,3.0,2.0,1.0,4.0,9.0,122.0,9.0,6.9,
26.0,Antoine Winfield Jr.,25.0,TAM,S,17.0,17.0,3.0,48.0,33.0,68.8,471.0,14.3,9.8,4.0,102.0,11.6,294.0,177.0,30.0,4.0,2.0,2.0,6.0,12.0,122.0,7.0,5.4,"AP-1,AP DPoY-6"
27.0,Kevin Byard,30.0,2TM,SS,16.0,16.0,1.0,63.0,47.0,74.6,512.0,10.9,8.1,2.0,102.1,7.5,298.0,214.0,10.0,0.0,0.0,1.0,0.0,0.0,122.0,5.0,3.9,
