Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Average Drive,Average Drive,Average Drive,Average Drive,Average Drive,year,week
Rk,Tm,G,#Dr,Plays,Sc%,TO%,Plays,Yds,Start,Time,Pts,,
1.0,Tennessee Titans,1.0,14,59,28.6,14.3,4.2,9.5,Own 41.0,2:00,0.86,2025,1
2.0,Denver Broncos,1.0,14,73,28.6,21.4,5.2,22.6,Own 32.5,2:17,1.43,2025,1
3.0,Minnesota Vikings,1.0,13,51,38.5,7.7,3.9,19.5,Own 30.6,2:05,2.08,2025,1
4.0,Buffalo Bills,1.0,12,81,66.7,0.0,6.8,41.4,Own 31.2,2:54,3.67,2025,1
5.0,Las Vegas Raiders,1.0,12,65,33.3,8.3,5.4,32.4,Own 26.8,2:30,1.67,2025,1
6.0,Chicago Bears,1.0,12,65,25.0,8.3,5.4,26.4,Own 30.0,2:44,1.42,2025,1
7.0,San Francisco 49ers,1.0,11,75,27.3,18.2,6.8,34.9,Own 25.2,3:27,1.55,2025,1
8.0,Baltimore Ravens,1.0,11,52,63.6,9.1,4.7,39.3,Own 32.0,2:17,3.73,2025,1
9.0,Pittsburgh Steelers,1.0,11,56,54.5,0.0,5.1,24.6,Own 36.5,2:18,3.09,2025,1
10.0,New England Patriots,1.0,11,71,27.3,9.1,6.5,30.5,Own 27.3,2:44,1.18,2025,1
11.0,Washington Commanders,1.0,10,65,30.0,0.0,6.5,43.2,Own 25.1,2:57,2.1,2025,1
12.0,Cleveland Browns,1.0,10,73,30.0,20.0,7.3,32.7,Own 26.8,3:35,1.7,2025,1
13.0,Tampa Bay Buccaneers,1.0,10,58,40.0,0.0,5.8,26.0,Own 32.8,2:29,2.4,2025,1
14.0,Seattle Seahawks,1.0,10,52,30.0,20.0,5.2,23.0,Own 31.4,2:12,1.3,2025,1
15.0,Atlanta Falcons,1.0,10,74,40.0,0.0,7.4,35.4,Own 27.4,3:31,2.0,2025,1
16.0,Carolina Panthers,1.0,10,62,20.0,30.0,6.2,25.5,Own 31.1,2:54,1.0,2025,1
17.0,New York Jets,1.0,10,64,60.0,0.0,6.4,39.4,Own 30.4,3:28,3.4,2025,1
18.0,New Orleans Saints,1.0,10,72,30.0,0.0,7.2,31.5,Own 28.6,2:37,1.3,2025,1
19.0,Jacksonville Jaguars,1.0,10,67,60.0,10.0,6.7,37.8,Own 31.3,3:06,2.6,2025,1
20.0,Cincinnati Bengals,1.0,10,50,30.0,0.0,5.0,14.1,Own 37.4,2:25,1.7,2025,1
21.0,New York Giants,1.0,9,64,22.2,0.0,7.1,25.7,Own 21.9,3:24,0.67,2025,1
22.0,Houston Texans,1.0,9,60,33.3,22.2,6.7,29.4,Own 21.1,3:29,1.0,2025,1
23.0,Green Bay Packers,1.0,9,49,55.6,0.0,5.4,29.6,Own 37.8,2:44,3.0,2025,1
24.0,Los Angeles Rams,1.0,9,57,22.2,11.1,6.3,30.9,Own 28.7,3:11,1.56,2025,1
25.0,Detroit Lions,1.0,9,67,33.3,11.1,7.4,27.3,Own 22.7,3:56,1.44,2025,1
26.0,Arizona Cardinals,1.0,9,64,44.4,0.0,7.1,30.7,Own 28.8,3:45,2.22,2025,1
27.0,Kansas City Chiefs,1.0,8,61,62.5,0.0,7.6,43.4,Own 30.9,3:25,2.88,2025,1
28.0,Philadelphia Eagles,1.0,8,63,50.0,0.0,7.9,37.8,Own 27.6,4:22,3.0,2025,1
29.0,Los Angeles Chargers,1.0,8,64,62.5,0.0,8.0,49.3,Own 23.7,4:06,3.38,2025,1
30.0,Dallas Cowboys,1.0,8,58,50.0,12.5,7.3,38.4,Own 23.2,3:09,2.5,2025,1
31.0,Miami Dolphins,1.0,7,46,14.3,42.9,6.6,30.1,Own 33.3,3:02,1.0,2025,1
32.0,Indianapolis Colts,1.0,7,74,100.0,0.0,10.6,59.7,Own 34.3,5:32,4.71,2025,1
,League Total,,321,2012,40.2,8.7,6.3,31.0,Own 29.7,3:4.,2.07,2025,1
