Quarter,Time,Down,ToGo,Location,DAL,ATL,Detail,EPB,EPA,week,year,game_id
,,,,,,,"Cowboys won the coin toss and deferred, Falcons to receive the opening kickoff.",,,9.0,2024,125
1.0,15:00,,,DAL 35,0.0,0.0,"Brandon Aubrey kicks off 59 yards, returned by Avery Williams for 24 yards (tackle by Buddy Johnson and Nick Vigil)",0.0,0.94,9.0,2024,125
1.0,14:54,1.0,10.0,ATL 30,0.0,0.0,Bijan Robinson left end for 9 yards (tackle by Trevon Diggs),0.94,1.61,9.0,2024,125
1.0,14:14,2.0,1.0,ATL 39,0.0,0.0,"Bijan Robinson right tackle for 2 yards (tackle by Osa Odighizuwa). Penalty on Ryan Neuzil: Offensive Holding, 10 yards (accepted)",1.61,0.53,9.0,2024,125
1.0,13:52,2.0,9.0,ATL 31,0.0,0.0,Kirk Cousins pass complete short left to Bijan Robinson for 1 yard (tackle by Donovan Wilson),0.53,-0.03,9.0,2024,125
1.0,13:17,3.0,8.0,ATL 32,0.0,0.0,Kirk Cousins pass incomplete short right intended for Darnell Mooney (defended by Trevon Diggs),-0.03,-1.24,9.0,2024,125
1.0,13:11,4.0,8.0,ATL 32,0.0,0.0,"Bradley Pinion punts 43 yards, fair catch by KaVontae Turpin at DAL-25",-1.24,-0.61,9.0,2024,125
1.0,13:04,1.0,10.0,DAL 25,0.0,0.0,Dak Prescott pass complete short left to Jake Ferguson for 27 yards (tackle by Matt Judon),0.61,2.39,9.0,2024,125
1.0,12:38,1.0,10.0,ATL 48,0.0,0.0,Dak Prescott pass complete short right to Rico Dowdle for 12 yards (tackle by Nathan Landman),2.39,3.18,9.0,2024,125
1.0,12:13,1.0,10.0,ATL 36,0.0,0.0,Dak Prescott pass complete short right to Jake Ferguson for 15 yards (tackle by Kaden Elliss and AJ Terrell),3.18,4.17,9.0,2024,125
1.0,11:35,1.0,10.0,ATL 21,0.0,0.0,Rico Dowdle right guard for 2 yards (tackle by David Onyemata),4.17,3.9,9.0,2024,125
1.0,10:58,2.0,8.0,ATL 19,0.0,0.0,Dak Prescott pass complete short right to Rico Dowdle for -4 yards (tackle by Kaden Elliss),3.9,2.68,9.0,2024,125
1.0,10:18,3.0,12.0,ATL 23,0.0,0.0,Dak Prescott pass complete short middle to CeeDee Lamb for 7 yards (tackle by Kaden Elliss and DeAundre Alford),2.68,2.43,9.0,2024,125
1.0,9:36,4.0,5.0,ATL 16,3.0,0.0,Brandon Aubrey 34 yard field goal good,2.43,3.0,9.0,2024,125
