Unnamed: 0,IND,MIN,week,year,game_id
First Downs,13,29,9.0,2024,137
Rush-Yds-TDs,19-68-0,32-133-0,9.0,2024,137
Cmp-Att-Yd-TD-INT,16-27-179-0-1,29-35-312-3-2,9.0,2024,137
Sacked-Yards,3-20,4-30,9.0,2024,137
Net Pass Yards,159,282,9.0,2024,137
Total Yards,227,415,9.0,2024,137
Fumbles-Lost,1-1,1-1,9.0,2024,137
Turnovers,2,3,9.0,2024,137
Penalties-Yards,7-50,3-41,9.0,2024,137
Third Down Conv.,3-11,6-12,9.0,2024,137
Fourth Down Conv.,1-2,1-1,9.0,2024,137
Time of Possession,23:06,36:54,9.0,2024,137
