Quarter,Time,Down,ToGo,Location,JAX,PHI,Detail,EPB,EPA,week,year,game_id
,,,,,,,"Jaguars won the coin toss and deferred, Eagles to receive the opening kickoff.",,,9.0,2024,134
1.0,15:00,,,JAX 35,0.0,0.0,"Cam Little kicks off 65 yards, touchback.",0.0,0.94,9.0,2024,134
1.0,15:00,1.0,10.0,PHI 30,0.0,0.0,Jalen Hurts pass incomplete deep middle intended for A.J. Brown (defended by Ronald Darby),0.94,0.39,9.0,2024,134
1.0,14:55,2.0,10.0,PHI 30,0.0,0.0,Saquon Barkley up the middle for 6 yards (tackle by Devin Lloyd and Tyler Lacy),0.39,0.5,9.0,2024,134
1.0,14:17,3.0,4.0,PHI 36,0.0,0.0,Jalen Hurts pass complete short right to Grant Calcaterra for 4 yards (tackle by Devin Lloyd),0.5,1.6,9.0,2024,134
1.0,13:46,1.0,10.0,PHI 40,0.0,0.0,Saquon Barkley right guard for 4 yards (tackle by Travon Walker),1.6,1.59,9.0,2024,134
1.0,13:09,2.0,6.0,PHI 44,0.0,0.0,Saquon Barkley right end for 4 yards (tackle by Foyesade Oluokun),1.59,1.42,9.0,2024,134
1.0,12:29,3.0,2.0,PHI 48,0.0,0.0,Kenneth Gainwell up the middle for 1 yard (tackle by Devin Lloyd and DaVon Hamilton),1.42,-0.13,9.0,2024,134
1.0,11:43,4.0,1.0,PHI 49,0.0,0.0,"Penalty on Jack Stoll: False Start, 5 yards (accepted) (no play)",-0.13,-0.46,9.0,2024,134
1.0,11:21,4.0,6.0,PHI 44,0.0,0.0,"Braden Mann punts 42 yards, returned by Austin Trammell for 1 yard. Austin Trammell fumbles (forced by Sydney Brown), recovered by Kelee Ringo at JAC-20 (tackle by Yasir Abdullah)",-0.46,4.24,9.0,2024,134
1.0,11:10,1.0,10.0,JAX 20,0.0,0.0,Jalen Hurts pass complete short right to Ben VanSumeren for no gain (tackle by Foyesade Oluokun),4.24,3.69,9.0,2024,134
1.0,10:28,2.0,10.0,JAX 20,0.0,6.0,"Jalen Hurts pass complete deep right to Saquon Barkley for 20 yards, touchdown",3.69,7.0,9.0,2024,134
1.0,10:22,,,JAX 15,0.0,7.0,Jake Elliott kicks extra point good,0.0,0.0,9.0,2024,134
1.0,10:22,,,PHI 35,0.0,7.0,"Braden Mann kicks off 65 yards, touchback.",0.0,0.94,9.0,2024,134
1.0,10:22,1.0,10.0,JAX 30,0.0,7.0,Trevor Lawrence pass incomplete deep right intended for Evan Engram (defended by Zack Baun),0.94,0.39,9.0,2024,134
1.0,10:17,2.0,10.0,JAX 30,0.0,7.0,Travis Etienne left tackle for 3 yards (tackle by Zack Baun and Quinyon Mitchell),0.39,0.1,9.0,2024,134
1.0,9:36,3.0,7.0,JAX 33,0.0,7.0,Trevor Lawrence pass complete short left to Parker Washington for 11 yards (tackle by Quinyon Mitchell),0.1,1.86,9.0,2024,134
1.0,8:56,1.0,10.0,JAX 44,0.0,7.0,Trevor Lawrence pass complete short left to Travis Etienne for 3 yards (tackle by Zack Baun),1.86,1.72,9.0,2024,134
1.0,8:11,2.0,7.0,JAX 47,0.0,7.0,Tank Bigsby right guard for 3 yards (tackle by Jordan Davis),1.72,1.42,9.0,2024,134
1.0,7:29,3.0,4.0,JAX 50,0.0,7.0,Trevor Lawrence sacked by Josh Sweat for -7 yards,1.42,-0.52,9.0,2024,134
1.0,6:43,4.0,11.0,JAX 43,0.0,7.0,Logan Cooke punts 46 yards out of bounds,-0.52,0.37,9.0,2024,134
1.0,6:36,1.0,10.0,PHI 11,0.0,7.0,Saquon Barkley right guard for 2 yards (tackle by Tyler Lacy),-0.37,-0.63,9.0,2024,134
1.0,6:00,2.0,8.0,PHI 13,0.0,7.0,Jalen Hurts sacked by Josh Hines-Allen for -4 yards,-0.63,-1.65,9.0,2024,134
1.0,5:14,3.0,12.0,PHI 9,0.0,7.0,"Penalty on Saquon Barkley: False Start, 4 yards (accepted) (no play)",-1.65,-2.12,9.0,2024,134
1.0,4:55,3.0,16.0,PHI 5,0.0,7.0,Jalen Hurts pass complete short left to Grant Calcaterra for 6 yards (tackle by Jarrian Jones),-2.12,-2.49,9.0,2024,134
1.0,4:17,4.0,10.0,PHI 11,0.0,7.0,"Braden Mann punts 54 yards, returned by Austin Trammell for 6 yards (tackle by Will Shipley)",-2.49,-1.66,9.0,2024,134
1.0,4:06,1.0,10.0,JAX 41,0.0,7.0,Travis Etienne right tackle for 5 yards (tackle by Zack Baun and Isaiah Rodgers),1.66,1.8,9.0,2024,134
1.0,3:28,2.0,5.0,JAX 46,0.0,7.0,Trevor Lawrence pass incomplete short middle intended for Evan Engram (defended by Nakobe Dean),1.8,1.09,9.0,2024,134
1.0,3:24,3.0,5.0,JAX 46,0.0,7.0,Trevor Lawrence pass incomplete short right intended for Evan Engram,1.09,-0.32,9.0,2024,134
1.0,3:20,4.0,5.0,JAX 46,0.0,7.0,"Logan Cooke punts 47 yards, fair catch by Cooper DeJean at PHI-7",-0.32,0.38,9.0,2024,134
1.0,3:13,1.0,10.0,PHI 7,0.0,7.0,Saquon Barkley left guard for 7 yards (tackle by Foyesade Oluokun),-0.38,-0.25,9.0,2024,134
1.0,2:39,2.0,3.0,PHI 14,0.0,7.0,Saquon Barkley right end for no gain (tackle by Arik Armstead),-0.25,-0.6,9.0,2024,134
1.0,1:55,3.0,3.0,PHI 14,0.0,7.0,Jalen Hurts pass complete short right to A.J. Brown for 20 yards (tackle by Andre Cisco),-0.6,1.2,9.0,2024,134
1.0,1:32,1.0,10.0,PHI 34,0.0,7.0,Jalen Hurts pass complete short right to Grant Calcaterra for 7 yards (tackle by Ronald Darby),1.2,1.6,9.0,2024,134
1.0,0:58,2.0,3.0,PHI 41,0.0,7.0,Saquon Barkley up the middle for 11 yards (tackle by Darnell Savage),1.6,2.39,9.0,2024,134
1.0,0:32,1.0,10.0,JAX 48,0.0,7.0,Jalen Hurts right end for 6 yards (tackle by Arik Armstead),2.39,2.66,9.0,2024,134
2.0,15:00,2.0,4.0,JAX 42,0.0,7.0,Saquon Barkley right end for -2 yards (tackle by Travon Walker),2.66,1.69,9.0,2024,134
2.0,14:18,3.0,6.0,JAX 44,0.0,7.0,Jalen Hurts pass complete short left to Saquon Barkley for 14 yards (tackle by Tyson Campbell and Tyler Lacy),1.69,3.58,9.0,2024,134
2.0,13:32,1.0,10.0,JAX 30,0.0,7.0,Kenneth Gainwell up the middle for 2 yards (tackle by Tyler Lacy),3.58,3.3,9.0,2024,134
2.0,12:55,2.0,8.0,JAX 28,0.0,7.0,Jalen Hurts pass complete short left to Kenneth Gainwell for 1 yard (tackle by Foyesade Oluokun),3.3,2.74,9.0,2024,134
2.0,12:14,3.0,7.0,JAX 27,0.0,7.0,Jalen Hurts scrambles up the middle for 7 yards (tackle by Devin Lloyd),2.74,4.24,9.0,2024,134
2.0,11:31,1.0,10.0,JAX 20,0.0,7.0,Saquon Barkley right guard for 2 yards (tackle by Myles Cole),4.24,3.96,9.0,2024,134
2.0,10:54,2.0,8.0,JAX 18,0.0,7.0,Jalen Hurts scrambles right end for 2 yards (tackle by Jeremiah Ledbetter),3.96,3.52,9.0,2024,134
2.0,10:06,3.0,6.0,JAX 16,0.0,7.0,Jalen Hurts sacked by Jordan Jefferson for -9 yards,3.52,1.8,9.0,2024,134
2.0,9:24,4.0,15.0,JAX 25,0.0,10.0,Jake Elliott 43 yard field goal good,1.8,3.0,9.0,2024,134
2.0,9:20,,,PHI 35,0.0,10.0,"Braden Mann kicks off 65 yards, touchback.",0.0,0.94,9.0,2024,134
2.0,9:20,1.0,10.0,JAX 30,0.0,10.0,Trevor Lawrence pass complete short left to Travis Etienne for 3 yards (tackle by Zack Baun),0.94,0.8,9.0,2024,134
2.0,8:54,2.0,7.0,JAX 33,0.0,10.0,Trevor Lawrence pass complete short right to Brian Thomas for 6 yards (tackle by Isaiah Rodgers),0.8,0.89,9.0,2024,134
2.0,8:17,3.0,1.0,JAX 39,0.0,10.0,Trevor Lawrence right guard for no gain (tackle by Jalen Carter and Zack Baun),0.89,-0.78,9.0,2024,134
2.0,7:29,4.0,1.0,JAX 39,0.0,10.0,Trevor Lawrence pass incomplete short left intended for Evan Engram (defended by Brandon Graham) (defended by Cooper DeJean),-0.78,-2.98,9.0,2024,134
