Unnamed: 0,DAL,ATL,week,year,game_id
First Downs,23,17,9.0,2024,125
Rush-Yds-TDs,21-137-0,30-100-1,9.0,2024,125
Cmp-Att-Yd-TD-INT,31-50-248-2-0,19-24-222-3-0,9.0,2024,125
Sacked-Yards,3-7,2-12,9.0,2024,125
Net Pass Yards,241,210,9.0,2024,125
Total Yards,378,310,9.0,2024,125
Fumbles-Lost,1-0,3-1,9.0,2024,125
Turnovers,0,1,9.0,2024,125
Penalties-Yards,9-55,4-26,9.0,2024,125
Third Down Conv.,3-13,4-13,9.0,2024,125
Fourth Down Conv.,1-5,2-2,9.0,2024,125
Time of Possession,30:40,29:20,9.0,2024,125
