Quarter,Time,Tm,Detail,LVR,CIN,week,year,game_id
1.0,9:36,Raiders,Zamir White 1 yard rush (Daniel Carlson kick),7,0,9.0,2024,128
,1:39,Bengals,Chase Brown 1 yard pass from Joe Burrow (Evan McPherson kick),7,7,9.0,2024,128
2.0,7:00,Bengals,Evan McPherson 44 yard field goal,7,10,9.0,2024,128
,2:58,Raiders,Daniel Carlson 46 yard field goal,10,10,9.0,2024,128
,0:32,Bengals,Andrei Iosivas 10 yard pass from Joe Burrow (Evan McPherson kick),10,17,9.0,2024,128
3.0,11:27,Bengals,Drew Sample 2 yard pass from Joe Burrow (Evan McPherson kick),10,24,9.0,2024,128
,7:34,Bengals,Mike Gesicki 11 yard pass from Joe Burrow (Evan McPherson kick),10,31,9.0,2024,128
4.0,13:17,Raiders,Jack Jones 29 yard interception return (Daniel Carlson kick),17,31,9.0,2024,128
,5:37,Bengals,Mike Gesicki 47 yard pass from Joe Burrow (Evan McPherson kick),17,38,9.0,2024,128
,1:53,Bengals,Evan McPherson 27 yard field goal,17,41,9.0,2024,128
,0:41,Raiders,Brock Bowers 22 yard pass from Desmond Ridder (Daniel Carlson kick),24,41,9.0,2024,128
