Unnamed: 0,JAX,PHI,week,year,game_id
First Downs,14,21,9.0,2024,134
Rush-Yds-TDs,18-60-2,46-237-2,9.0,2024,134
Cmp-Att-Yd-TD-INT,16-31-169-0-2,18-24-230-2-0,9.0,2024,134
Sacked-Yards,2-14,3-20,9.0,2024,134
Net Pass Yards,155,210,9.0,2024,134
Total Yards,215,447,9.0,2024,134
Fumbles-Lost,1-1,1-1,9.0,2024,134
Turnovers,3,1,9.0,2024,134
Penalties-Yards,4-17,8-67,9.0,2024,134
Third Down Conv.,3-10,9-17,9.0,2024,134
Fourth Down Conv.,1-2,0-2,9.0,2024,134
Time of Possession,21:48,38:12,9.0,2024,134
