#,Quarter,Time,LOS,Plays,Length,Net Yds,Result,home_team,team,week,year,game_id
1,1,15:00,ARI 30,3,1:30,4,Punt,1,Cardinals,9.0,2024,133
2,1,7:09,ARI 17,4,2:45,19,Punt,1,Cardinals,9.0,2024,133
3,1,3:23,CHI 41,5,2:37,41,Touchdown,1,Cardinals,9.0,2024,133
4,2,11:51,ARI 30,2,0:49,23,Fumble,1,Cardinals,9.0,2024,133
5,2,9:10,ARI 30,12,5:56,70,Touchdown,1,Cardinals,9.0,2024,133
6,2,0:26,ARI 30,4,0:22,70,Touchdown,1,Cardinals,9.0,2024,133
7,3,12:47,ARI 20,13,7:54,69,Field Goal,1,Cardinals,9.0,2024,133
8,4,14:55,CHI 40,4,0:53,3,Field Goal,1,Cardinals,9.0,2024,133
9,4,11:51,ARI 20,5,3:30,34,Punt,1,Cardinals,9.0,2024,133
10,4,7:54,CHI 36,4,0:23,9,Fumble,1,Cardinals,9.0,2024,133
11,4,4:35,ARI 40,3,2:20,5,Punt,1,Cardinals,9.0,2024,133
