Quarter,Time,Tm,Detail,HOU,NYJ,week,year,game_id
2.0,3:21,Texans,Joe Mixon 3 yard rush (Ka'imi Fairbairn kick),7,0,9.0,2024,124
3.0,9:03,Jets,Garrett Wilson 21 yard pass from Aaron Rodgers (Riley Patterson kick),7,7,9.0,2024,124
,4:11,Texans,Ka'imi Fairbairn 54 yard field goal,10,7,9.0,2024,124
4.0,12:54,Jets,Garrett Wilson 26 yard pass from Aaron Rodgers (Riley Patterson kick),10,14,9.0,2024,124
,2:56,Jets,Davante Adams 37 yard pass from Aaron Rodgers (Riley Patterson kick),10,21,9.0,2024,124
,0:39,Texans,Ka'imi Fairbairn 29 yard field goal,13,21,9.0,2024,124
