Quarter,Time,Down,ToGo,Location,DEN,BAL,Detail,EPB,EPA,week,year,game_id
,,,,,,,"Ravens won the coin toss and deferred, Broncos to receive the opening kickoff.",,,9.0,2024,130
1.0,15:00,,,BAL 35,0.0,0.0,"Justin Tucker kicks off 65 yards, touchback.",0.0,0.94,9.0,2024,130
1.0,15:00,1.0,10.0,DEN 30,0.0,0.0,Jaleel McLaughlin right end for 1 yard (tackle by Marcus Williams),0.94,0.53,9.0,2024,130
1.0,14:35,2.0,9.0,DEN 31,0.0,0.0,Bo Nix pass short right intended for Lil'Jordan Humphrey is intercepted by Ar'Darius Washington at DEN-37 and returned for 1 yard (tackle by Lil'Jordan Humphrey),0.53,-3.18,9.0,2024,130
1.0,14:30,1.0,10.0,DEN 36,0.0,0.0,Lamar Jackson pass complete short right to Rashod Bateman for 1 yard (tackle by Riley Moss and Cody Barton),3.18,2.77,9.0,2024,130
1.0,13:50,2.0,9.0,DEN 35,0.0,0.0,Derrick Henry left end for 4 yards (tackle by Jonathon Cooper and John Franklin-Myers),2.77,2.61,9.0,2024,130
1.0,13:06,3.0,5.0,DEN 31,0.0,0.0,Lamar Jackson sacked by John Franklin-Myers for -11 yards,2.61,0.46,9.0,2024,130
1.0,12:20,4.0,16.0,DEN 42,0.0,0.0,Jordan Stout punts 40 yards downed by Tylan Wallace,0.46,0.38,9.0,2024,130
1.0,12:12,1.0,10.0,DEN 2,0.0,0.0,Javonte Williams right guard for 2 yards (tackle by Kyle Hamilton and Broderick Washington),-0.38,-0.63,9.0,2024,130
1.0,11:36,2.0,8.0,DEN 4,0.0,0.0,Bo Nix pass complete short right to Adam Trautman for 4 yards (tackle by Marlon Humphrey),-0.63,-0.72,9.0,2024,130
1.0,10:56,3.0,4.0,DEN 8,0.0,0.0,Bo Nix pass complete short left to Devaughn Vele for 5 yards (tackle by Arthur Maulet),-0.72,-0.32,9.0,2024,130
1.0,10:15,1.0,10.0,DEN 13,0.0,0.0,Bo Nix pass complete short left to Jaleel McLaughlin for 6 yards (tackle by Odafe Oweh),-0.32,0.03,9.0,2024,130
1.0,9:43,2.0,4.0,DEN 19,0.0,0.0,Javonte Williams up the middle for 6 yards (tackle by Trenton Simpson and Chris Wormley),0.03,0.61,9.0,2024,130
1.0,9:06,1.0,10.0,DEN 25,0.0,0.0,"Bo Nix pass incomplete short right. Penalty on Troy Franklin: Offensive Pass Interference, 10 yards (accepted) (no play)",0.61,-0.41,9.0,2024,130
1.0,8:57,1.0,20.0,DEN 15,0.0,0.0,Javonte Williams right guard for 6 yards (tackle by Kyle Hamilton),-0.41,-0.48,9.0,2024,130
1.0,8:35,2.0,14.0,DEN 21,0.0,0.0,Bo Nix pass complete deep left to Courtland Sutton for 26 yards (tackle by Ar'Darius Washington),-0.48,2.06,9.0,2024,130
1.0,7:49,1.0,10.0,DEN 47,0.0,0.0,Jaleel McLaughlin right guard for 3 yards (tackle by Odafe Oweh),2.06,1.92,9.0,2024,130
1.0,7:23,2.0,7.0,BAL 50,0.0,0.0,Bo Nix pass complete short middle to Lil'Jordan Humphrey for 6 yards (tackle by Trenton Simpson),1.92,2.02,9.0,2024,130
1.0,6:58,3.0,1.0,BAL 44,0.0,0.0,Bo Nix up the middle for no gain (tackle by Kyle Van Noy and Odafe Oweh),2.02,0.33,9.0,2024,130
1.0,6:21,4.0,1.0,BAL 44,0.0,0.0,"Javonte Williams right end for 1 yard (tackle by Brandon Stephens and Roquan Smith) BAL challenged the first down ruling, and the original play was overturned. Javonte Williams right end for no gain and Brandon Stephens and Roquan Smith)",0.33,-1.8,9.0,2024,130
1.0,6:17,1.0,10.0,BAL 43,0.0,0.0,Derrick Henry left guard for 1 yard (tackle by Nik Bonitto),1.8,1.39,9.0,2024,130
1.0,5:38,2.0,9.0,BAL 44,0.0,0.0,"Lamar Jackson pass complete short left to Justice Hill for 7 yards (tackle by Devon Key). Penalty on Patrick Mekari: Offensive Holding, 10 yards (accepted)",1.39,0.98,9.0,2024,130
1.0,5:12,2.0,12.0,BAL 41,0.0,0.0,Lamar Jackson pass complete deep left to Nelson Agholor for 29 yards (tackle by Ja'Quan McMillian),0.98,3.58,9.0,2024,130
1.0,4:26,1.0,10.0,DEN 30,0.0,0.0,Derrick Henry right guard for 1 yard (tackle by Baron Browning and Cody Barton),3.58,3.17,9.0,2024,130
1.0,3:44,2.0,9.0,DEN 29,0.0,0.0,Lamar Jackson pass complete short left to Rashod Bateman for 15 yards (tackle by Devon Key),3.17,4.65,9.0,2024,130
1.0,3:07,1.0,10.0,DEN 14,0.0,0.0,Derrick Henry right end for 7 yards (tackle by Patrick Surtain and Cody Barton),4.65,5.28,9.0,2024,130
1.0,2:23,2.0,3.0,DEN 7,0.0,6.0,"Derrick Henry right guard for 7 yards, touchdown",5.28,7.0,9.0,2024,130
1.0,2:18,,,DEN 15,0.0,7.0,Justin Tucker kicks extra point good,0.0,0.0,9.0,2024,130
1.0,2:18,,,BAL 35,0.0,7.0,"Justin Tucker kicks off 65 yards, returned by Tremon Smith for 23 yards (tackle by Sanoussi Kane)",0.0,0.48,9.0,2024,130
1.0,2:13,1.0,10.0,DEN 23,0.0,7.0,Javonte Williams right guard for 4 yards (tackle by Trenton Simpson),0.48,0.47,9.0,2024,130
1.0,1:46,2.0,6.0,DEN 27,0.0,7.0,Bo Nix pass incomplete short left intended for Troy Franklin (defended by Kyle Hamilton),0.47,-0.23,9.0,2024,130
