Quarter,Time,Down,ToGo,Location,NWE,TEN,Detail,EPB,EPA,week,year,game_id
,,,,,,,"Titans won the coin toss, Titans to receive the opening kickoff.",,,9.0,2024,131
1,15:00,,,NWE 35,0.0,0.0,"Joey Slye kicks off 65 yards, touchback.. Penalty on Justin Hardee: Illegal Formation, 5 yards (accepted)",0.0,0.61,9.0,2024,131
1,15:00,1.0,10.0,TEN 25,0.0,0.0,Tony Pollard up the middle for 1 yard (tackle by Anfernee Jennings),0.61,0.2,9.0,2024,131
1,14:25,2.0,9.0,TEN 26,0.0,0.0,Mason Rudolph pass complete short middle to Nick Westbrook-Ikhine for 10 yards (tackle by Jonathan Jones),0.2,1.33,9.0,2024,131
1,13:49,1.0,10.0,TEN 36,0.0,0.0,Tony Pollard left tackle for 3 yards (tackle by Jonathan Jones),1.33,1.2,9.0,2024,131
1,13:13,2.0,7.0,TEN 39,0.0,0.0,Jha'Quan Jackson left end for -5 yards (tackle by Jahlani Tavai),1.2,-0.16,9.0,2024,131
1,12:33,3.0,12.0,TEN 34,0.0,0.0,Mason Rudolph scrambles left tackle for 13 yards (tackle by Marte Mapu),-0.16,2.06,9.0,2024,131
1,11:46,1.0,10.0,TEN 47,0.0,0.0,Mason Rudolph pass complete short right to Josh Whyle for 12 yards (tackle by Jaylinn Hawkins and Marco Wilson),2.06,2.85,9.0,2024,131
1,11:11,1.0,10.0,NWE 41,0.0,0.0,Tony Pollard left end for 32 yards (tackle by Jaylinn Hawkins),2.85,5.14,9.0,2024,131
1,10:24,1.0,9.0,NWE 9,0.0,6.0,"Mason Rudolph pass complete short left to Nick Vannett for 9 yards, touchdown",5.14,7.0,9.0,2024,131
1,10:18,,,NWE 15,0.0,7.0,Nick Folk kicks extra point good,0.0,0.0,9.0,2024,131
1,10:18,,,TEN 35,0.0,7.0,"Nick Folk kicks off 65 yards, touchback.",0.0,0.94,9.0,2024,131
1,10:18,1.0,10.0,NWE 30,0.0,7.0,Rhamondre Stevenson up the middle for 5 yards (tackle by Quandre Diggs and Amani Hooker),0.94,1.07,9.0,2024,131
1,9:36,2.0,5.0,NWE 35,0.0,7.0,Drake Maye scrambles up the middle for 26 yards (tackle by Quandre Diggs),1.07,2.98,9.0,2024,131
1,8:51,1.0,10.0,TEN 39,0.0,7.0,Rhamondre Stevenson left end for 1 yard (tackle by Kenneth Murray and Jeffery Simmons),2.98,2.58,9.0,2024,131
1,8:15,2.0,9.0,TEN 38,0.0,7.0,Drake Maye pass complete short right to Rhamondre Stevenson for 4 yards (tackle by Jeffery Simmons),2.58,2.41,9.0,2024,131
1,7:29,3.0,5.0,TEN 34,0.0,7.0,"Drake Maye sacked by Harold Landry for -4 yards. Penalty on Layden Robinson: Offensive Holding, 10 yards (declined)",2.41,0.72,9.0,2024,131
1,7:08,4.0,9.0,TEN 38,0.0,7.0,Joey Slye 56 yard field goal no good,0.72,-1.99,9.0,2024,131
1,7:03,1.0,10.0,TEN 46,0.0,7.0,Tony Pollard right end for 13 yards (tackle by Marte Mapu),1.99,2.85,9.0,2024,131
1,6:23,1.0,10.0,NWE 41,0.0,7.0,Tony Pollard left end for 4 yards (tackle by Anfernee Jennings),2.85,2.85,9.0,2024,131
1,5:43,2.0,6.0,NWE 37,0.0,7.0,Julius Chestnut up the middle for -1 yards (tackle by Davon Godchaux),2.85,2.02,9.0,2024,131
1,5:02,3.0,7.0,NWE 38,0.0,7.0,Mason Rudolph pass incomplete deep right intended for Calvin Ridley (defended by Christian Gonzalez),2.02,0.72,9.0,2024,131
1,4:57,4.0,7.0,NWE 38,0.0,7.0,"Penalty on TEN: Delay of Game, 4 yards (accepted) (no play)",0.72,0.46,9.0,2024,131
1,4:57,4.0,11.0,NWE 42,0.0,7.0,"Ryan Stonehouse punts 42 yards, touchback.",0.46,-0.28,9.0,2024,131
1,4:51,1.0,10.0,NWE 20,0.0,7.0,Rhamondre Stevenson left end for 1 yard (tackle by Kenneth Murray and Jack Gibbens),0.28,-0.13,9.0,2024,131
1,4:13,2.0,9.0,NWE 21,0.0,7.0,Drake Maye pass incomplete deep left intended for Kayshon Boutte,-0.13,-0.82,9.0,2024,131
1,4:08,3.0,9.0,NWE 21,0.0,7.0,"Penalty on Kendrick Bourne: False Start, 5 yards (accepted) (no play)",-0.82,-1.69,9.0,2024,131
1,4:08,3.0,14.0,NWE 16,0.0,7.0,Drake Maye pass complete short left to Kendrick Bourne for 11 yards,-1.69,-1.57,9.0,2024,131
1,3:29,4.0,3.0,NWE 27,0.0,7.0,Bryce Baringer punts 49 yards downed by Dell Pettus,-1.57,-0.54,9.0,2024,131
1,3:18,1.0,10.0,TEN 24,0.0,7.0,Mason Rudolph pass complete short left to Nick Vannett for 24 yards (tackle by Dell Pettus and Jahlani Tavai),0.54,2.13,9.0,2024,131
1,2:41,1.0,10.0,TEN 48,0.0,7.0,Tony Pollard right tackle for 3 yards (tackle by Daniel Ekuale),2.13,1.99,9.0,2024,131
1,2:05,2.0,7.0,NWE 49,0.0,7.0,Mason Rudolph sacked by Deatrich Wise for -7 yards,1.99,0.37,9.0,2024,131
1,1:26,3.0,14.0,TEN 44,0.0,7.0,Mason Rudolph pass incomplete short right,0.37,-0.46,9.0,2024,131
1,1:23,4.0,14.0,TEN 44,0.0,7.0,"Ryan Stonehouse punts 53 yards, returned by Marcus Jones for 44 yards (tackle by Bryce Oliver)",-0.46,-2.06,9.0,2024,131
1,1:08,1.0,10.0,NWE 47,0.0,7.0,Rhamondre Stevenson up the middle for 1 yard (tackle by Sebastian Joseph-Day and James Lynch),2.06,1.65,9.0,2024,131
1,0:33,2.0,9.0,NWE 48,0.0,7.0,Drake Maye pass complete short right to Jaheim Bell for 1 yard (tackle by Kenneth Murray and Harold Landry),1.65,1.09,9.0,2024,131
