Quarter,Time,Down,ToGo,Location,IND,MIN,Detail,EPB,EPA,week,year,game_id
,,,,,,,"Vikings won the coin toss and deferred, Colts to receive the opening kickoff.",,,9.0,2024,137
1.0,15:00,,,MIN 35,0.0,0.0,"Will Reichard kicks off 65 yards, touchback.",0.0,0.94,9.0,2024,137
1.0,15:00,1.0,10.0,IND 30,0.0,0.0,Jonathan Taylor left tackle for 3 yards (tackle by Ivan Pace),0.94,0.8,9.0,2024,137
1.0,14:24,2.0,7.0,IND 33,0.0,0.0,Jonathan Taylor right guard for 6 yards (tackle by Jerry Tillery),0.8,0.89,9.0,2024,137
1.0,13:44,3.0,1.0,IND 39,0.0,0.0,Joe Flacco pass complete deep left to Kylen Granson for 22 yards (tackle by Harrison Smith),0.89,2.98,9.0,2024,137
1.0,13:06,1.0,10.0,MIN 39,0.0,0.0,Jonathan Taylor left guard for 13 yards (tackle by Harrison Smith and Camryn Bynum),2.98,3.84,9.0,2024,137
1.0,12:33,1.0,10.0,MIN 26,0.0,0.0,"Joe Flacco aborted snap, recovered by Harrison Smith at MIN-24",3.84,-0.54,9.0,2024,137
1.0,12:24,1.0,10.0,MIN 24,0.0,0.0,Sam Darnold pass complete short right to Josh Oliver for 11 yards (tackle by Nick Cross),0.54,1.27,9.0,2024,137
1.0,11:47,1.0,10.0,MIN 35,0.0,0.0,Aaron Jones left tackle for 13 yards (tackle by Julian Blackmon and Jaylon Jones),1.27,2.13,9.0,2024,137
1.0,11:07,1.0,10.0,MIN 48,0.0,0.0,Sam Darnold pass complete short right to T.J. Hockenson for 2 yards (tackle by Kenny Moore),2.13,1.85,9.0,2024,137
1.0,10:45,2.0,8.0,MIN 50,0.0,0.0,Sam Darnold pass complete short left to Brandon Powell for 9 yards (tackle by Jaylon Jones),1.85,2.85,9.0,2024,137
1.0,10:21,1.0,10.0,IND 41,0.0,0.0,Sam Darnold pass complete short left to Jordan Addison for 1 yard (tackle by DeForest Buckner),2.85,2.44,9.0,2024,137
1.0,9:38,2.0,9.0,IND 40,0.0,0.0,Aaron Jones up the middle for 3 yards (tackle by Zaire Franklin and DeForest Buckner),2.44,2.15,9.0,2024,137
