Unnamed: 0_level_0,Unnamed: 1_level_0,Offense,Offense,Offense,Offense,Defense,Defense,Defense,Defense,Special Teams,Special Teams,Special Teams,Special Teams,Special Teams,Special Teams,week,year,game_id
Tm,Total,Tot,Pass,Rush,TOvr,Tot,Pass,Rush,TOvr,Tot,KO,KR,P,PR,FG/XP,,,
Colts,-8.0,-9.87,-1.57,-7.62,-4.55,-4.42,-2.27,-1.42,17.98,4.04,-5.41,3.76,0.85,1.02,3.82,9.0,2024,137
Vikings,8.0,4.42,2.27,1.42,-17.98,9.87,1.57,7.62,4.55,-4.04,-3.76,5.41,-1.02,-0.85,-3.82,9.0,2024,137
