Unnamed: 0,LAR,SEA,week,year,game_id
First Downs,22,20,9.0,2024,136
Rush-Yds-TDs,24-68-0,33-107-0,9.0,2024,136
Cmp-Att-Yd-TD-INT,25-44-298-2-1,21-34-363-3-3,9.0,2024,136
Sacked-Yards,0-0,7-46,9.0,2024,136
Net Pass Yards,298,317,9.0,2024,136
Total Yards,366,424,9.0,2024,136
Fumbles-Lost,3-0,2-0,9.0,2024,136
Turnovers,1,3,9.0,2024,136
Penalties-Yards,8-83,12-95,9.0,2024,136
Third Down Conv.,3-13,4-15,9.0,2024,136
Fourth Down Conv.,0-0,2-3,9.0,2024,136
Time of Possession,32:10,32:53,9.0,2024,136
