Unnamed: 0,DEN,BAL,week,year,game_id
First Downs,20,25,9.0,2024,130
Rush-Yds-TDs,30-122-0,34-127-2,9.0,2024,130
Cmp-Att-Yd-TD-INT,20-34-225-1-1,16-19-280-3-0,9.0,2024,130
Sacked-Yards,4-28,1-11,9.0,2024,130
Net Pass Yards,197,269,9.0,2024,130
Total Yards,319,396,9.0,2024,130
Fumbles-Lost,0-0,2-0,9.0,2024,130
Turnovers,1,0,9.0,2024,130
Penalties-Yards,9-71,6-53,9.0,2024,130
Third Down Conv.,6-14,3-8,9.0,2024,130
Fourth Down Conv.,1-5,0-0,9.0,2024,130
Time of Possession,28:09,31:51,9.0,2024,130
