#,Quarter,Time,LOS,Plays,Length,Net Yds,Result,home_team,team,week,year,game_id
1,1,10:32,LAR 11,3,0:43,7,Punt,0,Rams,9.0,2024,136
2,1,8:31,,6,3:00,12,Punt,0,Rams,9.0,2024,136
3,1,2:53,LAR 21,3,1:35,5,Punt,0,Rams,9.0,2024,136
4,1,0:25,LAR 10,5,1:35,39,Punt,0,Rams,9.0,2024,136
5,2,9:25,LAR 37,11,5:54,43,Field Goal,0,Rams,9.0,2024,136
6,2,0:51,LAR 25,3,0:24,19,Interception,0,Rams,9.0,2024,136
8,3,15:00,LAR 25,11,6:32,75,Touchdown,0,Rams,9.0,2024,136
9,3,6:06,LAR 35,12,5:39,62,Field Goal,0,Rams,9.0,2024,136
10,4,9:49,LAR 29,3,1:05,2,"Blocked Punt, Downs",0,Rams,9.0,2024,136
11,4,6:07,LAR 7,3,1:39,7,Punt,0,Rams,9.0,2024,136
12,4,2:59,LAR 28,3,1:05,1,Punt,0,Rams,9.0,2024,136
13,4,0:51,LAR 30,3,0:32,19,Punt,0,Rams,9.0,2024,136
14,5,7:19,LAR 17,4,2:22,83,Touchdown,0,Rams,9.0,2024,136
