Player,Tm,Cmp,Att,Yds,1D,1D%,IAY,IAY/PA,CAY,CAY/Cmp,CAY/PA,YAC,YAC/Cmp,Drops,Drop%,BadTh,Bad%,Sk,Bltz,Hrry,Hits,Prss,Prss%,Scrm,Yds/Scr,week,year,game_id
Joe Flacco,IND,16,27,179,9,30.0,211,7.8,114,7.1,4.2,65,4.1,2,7.4%,4,14.8%,3,7,2,4,9,30.0%,0,,9.0,2024,137
Sam Darnold,MIN,28,34,290,16,42.1,240,7.1,192,6.9,5.6,98,3.5,1,3.1%,1,3.1%,4,6,3,4,11,28.2%,1,11.0,9.0,2024,137
Justin Jefferson,MIN,1,1,22,1,100.0,-5,-5.0,-5,-5.0,-5.0,27,27.0,0,0.0%,0,0.0%,0,0,0,0,0,0.0%,0,,9.0,2024,137
