Unnamed: 0,CHI,ARI,week,year,game_id
First Downs,16,18,9.0,2024,133
Rush-Yds-TDs,23-69-0,34-213-3,9.0,2024,133
Cmp-Att-Yd-TD-INT,22-41-217-0-0,13-20-154-0-0,9.0,2024,133
Sacked-Yards,6-45,3-17,9.0,2024,133
Net Pass Yards,172,137,9.0,2024,133
Total Yards,241,350,9.0,2024,133
Fumbles-Lost,1-0,2-2,9.0,2024,133
Turnovers,0,2,9.0,2024,133
Penalties-Yards,6-33,2-15,9.0,2024,133
Third Down Conv.,3-14,5-13,9.0,2024,133
Fourth Down Conv.,2-4,0-1,9.0,2024,133
Time of Possession,31:01,28:59,9.0,2024,133
